,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6447338,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",5180144,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"The Box","Roddy Ricch",4407525,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Roses - Imanbek Remix","SAINt JHN",4370480,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Dance Monkey","Tones And I",4076246,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3814825,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Break My Heart","Dua Lipa",3478044,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
8,"Say So","Doja Cat",3433210,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,"Intentions (feat. Quavo)","Justin Bieber",3278793,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,"Blueberry Faygo","Lil Mosey",3177813,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,Safaera,"Bad Bunny",3137900,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Physical,"Dua Lipa",3079024,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
13,Falling,"Trevor Daniel",3026962,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,"In Your Eyes","The Weeknd",2903553,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
15,"Sunday Best",Surfaces,2824734,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,Supalonely,BENEE,2647704,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,ROXANNE,"Arizona Zervas",2644221,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Tusa,"KAROL G",2444495,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,"Someone You Loved","Lewis Capaldi",2400945,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Circles,"Post Malone",2315550,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,"Yo Perreo Sola","Bad Bunny",2265401,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
22,Rojo,"J Balvin",2263057,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
23,"La Difícil","Bad Bunny",2176894,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
24,"Adore You","Harry Styles",2090828,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
25,"After Hours","The Weeknd",2043777,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
26,"BELIEVE IT",PARTYNEXTDOOR,1999026,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
27,Memories,"Maroon 5",1996076,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,Savage,"Megan Thee Stallion",1994494,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
29,"Turks (feat. Travis Scott)",NAV,1942036,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
30,"Godzilla (feat. Juice WRLD)",Eminem,1932750,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,"Si Veo a Tu Mamá","Bad Bunny",1908054,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
32,"bad guy","Billie Eilish",1845118,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
33,"everything i wanted","Billie Eilish",1839990,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
34,Ignorantes,"Bad Bunny",1837724,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
35,"Boss Bitch","Doja Cat",1761417,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
36,"Life Is Good (feat. Drake)",Future,1757073,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
37,"Before You Go","Lewis Capaldi",1728058,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"WHATS POPPIN","Jack Harlow",1680339,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
39,Yummy,"Justin Bieber",1629874,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
40,Amarillo,"J Balvin",1596185,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
41,Señorita,"Shawn Mendes",1585689,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,Morado,"J Balvin",1575228,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
43,"Like It Is",Kygo,1476125,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
44,Heartless,"The Weeknd",1439694,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
45,Tattoo,"Rauw Alejandro",1401907,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
46,"Sigues Con El","Dimelo Flow",1387557,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
47,Vete,"Bad Bunny",1359903,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
48,"La Santa","Bad Bunny",1358190,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
49,"lovely (with Khalid)","Billie Eilish",1344399,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
50,"You should be sad",Halsey,1319395,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
51,"High Fashion (feat. Mustard)","Roddy Ricch",1317299,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
52,"My Oh My (feat. DaBaby)","Camila Cabello",1278303,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
53,"Moral of the Story",Ashe,1273939,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
54,"CITY OF ANGELS",24kGoldn,1266503,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
55,Levitating,"Dua Lipa",1265452,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
56,"Lose Control",MEDUZA,1255152,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1252443,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,Skechers,DripReport,1239591,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
59,"RITMO (Bad Boys For Life)","Black Eyed Peas",1231845,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
60,"Ride It",Regard,1222471,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
61,Hallucinate,"Dua Lipa",1221414,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg
62,"Save Your Tears","The Weeknd",1219814,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
63,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1211494,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
64,"hot girl bummer",blackbear,1208575,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
65,Diosa,"Myke Towers",1183685,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
66,"I Don't Care (with Justin Bieber)","Ed Sheeran",1179399,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
67,P2,"Lil Uzi Vert",1177525,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
68,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1167749,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
69,"Stupid Love","Lady Gaga",1167684,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
