,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5189655,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5006992,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4873167,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4238467,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",3827360,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,Tusa,"KAROL G",3559426,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
7,"Intentions (feat. Quavo)","Justin Bieber",3466982,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,"Say So","Doja Cat",3381590,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,"Si Veo a Tu Mamá","Bad Bunny",3377341,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,Falling,"Trevor Daniel",3250817,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Ignorantes,"Bad Bunny",3182402,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
12,ROXANNE,"Arizona Zervas",3130669,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Safaera,"Bad Bunny",2914879,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,Circles,"Post Malone",2620942,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Baby Pluto","Lil Uzi Vert",2556919,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
16,"That Way - Bonus Track","Lil Uzi Vert",2531131,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
17,"Someone You Loved","Lewis Capaldi",2496099,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"La Santa","Bad Bunny",2425003,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
19,"Sunday Best",Surfaces,2408083,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
20,Yummy,"Justin Bieber",2330976,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
21,"Blueberry Faygo","Lil Mosey",2313243,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
22,P2,"Lil Uzi Vert",2297411,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
23,Vete,"Bad Bunny",2270218,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
24,Memories,"Maroon 5",2262602,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2230709,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
26,"Life Is Good (feat. Drake)",Future,2179070,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
27,"Roses - Imanbek Remix","SAINt JHN",2175033,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
28,"Lo Mein","Lil Uzi Vert",2126547,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
29,"bad guy","Billie Eilish",2065931,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
30,"Godzilla (feat. Juice WRLD)",Eminem,2041990,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,"Stupid Love","Lady Gaga",2041187,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
32,"Adore You","Harry Styles",2039386,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
33,"everything i wanted","Billie Eilish",2000834,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
34,"No Time To Die","Billie Eilish",1986878,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
35,"Yo Perreo Sola","Bad Bunny",1979039,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
36,"Silly Watch","Lil Uzi Vert",1900241,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
37,Señorita,"Shawn Mendes",1860468,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
38,Physical,"Dua Lipa",1816193,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
39,Rojo,"J Balvin",1769994,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
40,"Before You Go","Lewis Capaldi",1769216,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,"You should be sad",Halsey,1761785,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
42,"Sigues Con El","Dimelo Flow",1752116,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
43,"After Hours","The Weeknd",1726542,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
44,"RITMO (Bad Boys For Life)","Black Eyed Peas",1717952,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
45,"Pero Ya No","Bad Bunny",1677567,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
46,Morado,"J Balvin",1670171,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
47,Homecoming,"Lil Uzi Vert",1657941,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj
48,"My Oh My (feat. DaBaby)","Camila Cabello",1649831,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
49,"I'm Sorry","Lil Uzi Vert",1600255,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c
50,Prices,"Lil Uzi Vert",1546864,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
51,"Moral of the Story",Ashe,1542269,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
52,Supalonely,BENEE,1482589,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
53,"I Love Me","Demi Lovato",1476544,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
54,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",1473228,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
55,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1446969,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
56,"High Fashion (feat. Mustard)","Roddy Ricch",1446925,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
57,"Hola - Remix",Dalex,1431745,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
58,"Celebration Station","Lil Uzi Vert",1385988,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4
59,POP,"Lil Uzi Vert",1358443,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN
60,Diosa,"Myke Towers",1354527,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
61,"Ride It",Regard,1337655,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
62,"WHATS POPPIN","Jack Harlow",1330590,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
63,"Bigger Than Life","Lil Uzi Vert",1327833,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn
64,Venetia,"Lil Uzi Vert",1309659,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT
65,"hot girl bummer",blackbear,1286150,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
66,"I Don't Care (with Justin Bieber)","Ed Sheeran",1279912,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
67,Bichiyal,"Bad Bunny",1279492,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
68,"Se Me Olvidó","Christian Nodal",1274064,https://open.spotify.com/track/5Xitt5a5uLQ1QtYdFxmi9e
69,"Lose Control",MEDUZA,1262479,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
70,"You Better Move","Lil Uzi Vert",1243092,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw
71,Tattoo,"Rauw Alejandro",1233785,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
72,"lovely (with Khalid)","Billie Eilish",1232906,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,"10,000 Hours (with Justin Bieber)","Dan + Shay",1231030,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
74,"CITY OF ANGELS",24kGoldn,1224171,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
75,"A Tu Merced","Bad Bunny",1221105,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
76,"Forever (feat. Post Malone & Clever)","Justin Bieber",1215321,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
77,Keii,"Anuel AA",1215242,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
78,Soliá,"Bad Bunny",1198104,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
79,"To Die For","Sam Smith",1192276,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
80,25/8,"Bad Bunny",1147572,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
81,Suicidal,"YNW Melly",1133586,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
82,"Ballin' (with Roddy Ricch)",Mustard,1127004,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
83,"Beautiful People (feat. Khalid)","Ed Sheeran",1124748,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
84,Muévelo,"Nicky Jam",1123075,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
85,"Lucid Dreams","Juice WRLD",1119624,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
