,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",8453567,https://open.spotify.com/track/0kPmcPPkjoyfLhUwHLWrk0
2,"Alone Again","The Weeknd",5118147,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
3,"The Box","Roddy Ricch",5001516,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"In Your Eyes","The Weeknd",4822111,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
5,"Dance Monkey","Tones And I",4668080,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Too Late","The Weeknd",4557339,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
7,"After Hours","The Weeknd",4381335,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
8,"Hardest To Love","The Weeknd",4348939,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
9,"Scared To Live","The Weeknd",4334915,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
10,"Don't Start Now","Dua Lipa",4260142,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,Snowchild,"The Weeknd",3857698,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
12,"Escape From LA","The Weeknd",3692505,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
13,Heartless,"The Weeknd",3634378,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
14,Rojo,"J Balvin",3568919,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
15,"Say So","Doja Cat",3546254,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
16,Faith,"The Weeknd",3497191,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
17,Amarillo,"J Balvin",3411563,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
18,"Intentions (feat. Quavo)","Justin Bieber",3403898,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
19,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3333710,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Save Your Tears","The Weeknd",3305875,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
21,Falling,"Trevor Daniel",3214330,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
22,"Roses - Imanbek Remix","SAINt JHN",3214327,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
23,Safaera,"Bad Bunny",3188409,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
24,Tusa,"KAROL G",3115601,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,ROXANNE,"Arizona Zervas",2996004,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
26,"Sunday Best",Surfaces,2792500,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
27,Morado,"J Balvin",2756514,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
28,"La Difícil","Bad Bunny",2735154,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
29,"Blueberry Faygo","Lil Mosey",2691638,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
30,"Repeat After Me (Interlude)","The Weeknd",2602638,https://open.spotify.com/track/40U8d12pC5UHqmHwXjHjjl
31,Circles,"Post Malone",2564207,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
32,"Godzilla (feat. Juice WRLD)",Eminem,2535013,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,"Someone You Loved","Lewis Capaldi",2523889,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Until I Bleed Out","The Weeknd",2449518,https://open.spotify.com/track/2BcnxwxBuar5wjCaLqm5N3
35,Supalonely,BENEE,2444326,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
36,"Si Veo a Tu Mamá","Bad Bunny",2440632,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
37,Azul,"J Balvin",2295701,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
38,Ignorantes,"Bad Bunny",2269997,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
39,"Adore You","Harry Styles",2228772,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,Memories,"Maroon 5",2225122,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
41,Yummy,"Justin Bieber",2057641,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
42,"bad guy","Billie Eilish",1998013,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
43,"Life Is Good (feat. Drake)",Future,1981318,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
44,Rosa,"J Balvin",1958001,https://open.spotify.com/track/464uJVLmr0fDJGXOnciaDe
45,"everything i wanted","Billie Eilish",1955992,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
46,"Before You Go","Lewis Capaldi",1840474,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
47,Señorita,"Shawn Mendes",1824010,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
48,Gris,"J Balvin",1765960,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
49,Physical,"Dua Lipa",1727439,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
50,Blanco,"J Balvin",1714648,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
51,Negro,"J Balvin",1711077,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
52,Vete,"Bad Bunny",1661821,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
53,"WHATS POPPIN","Jack Harlow",1651032,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
54,"La Santa","Bad Bunny",1640400,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
55,"Sigues Con El","Dimelo Flow",1604056,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
56,Verde,"J Balvin",1596191,https://open.spotify.com/track/3HTbI3yUJQw3fP0Po8qLcD
57,"My Oh My (feat. DaBaby)","Camila Cabello",1538429,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
58,"RITMO (Bad Boys For Life)","Black Eyed Peas",1532541,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
59,"No Time To Die","Billie Eilish",1528729,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
60,"That Way - Bonus Track","Lil Uzi Vert",1525750,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
61,"You should be sad",Halsey,1517248,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
62,"Stupid Love","Lady Gaga",1512092,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
63,"Yo Perreo Sola","Bad Bunny",1503036,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
64,"High Fashion (feat. Mustard)","Roddy Ricch",1495512,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
65,Tattoo,"Rauw Alejandro",1478106,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
66,"Moral of the Story",Ashe,1476382,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
67,P2,"Lil Uzi Vert",1464597,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
68,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1415231,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
69,Arcoíris,"J Balvin",1403877,https://open.spotify.com/track/5zzbORcD0GwLY0wQHP1Xs1
70,Diosa,"Myke Towers",1400439,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
71,"Ride It",Regard,1389879,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
72,"CITY OF ANGELS",24kGoldn,1312326,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
73,"Lose Control",MEDUZA,1309631,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
74,"lovely (with Khalid)","Billie Eilish",1309414,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,"I Don't Care (with Justin Bieber)","Ed Sheeran",1297783,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
76,"hot girl bummer",blackbear,1276077,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
77,"Boss Bitch","Doja Cat",1253821,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
78,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",1237042,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
79,"Hola - Remix",Dalex,1228993,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
80,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1212266,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
81,Myron,"Lil Uzi Vert",1200213,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
82,"10,000 Hours (with Justin Bieber)","Dan + Shay",1185995,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
83,"Lucid Dreams","Juice WRLD",1176582,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
84,"What A Man Gotta Do","Jonas Brothers",1164433,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
85,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1157711,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
86,"Beautiful People (feat. Khalid)","Ed Sheeran",1122538,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
87,"Forever (feat. Post Malone & Clever)","Justin Bieber",1104448,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
88,"What If I Told You That I Love You","Ali Gatie",1104397,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
89,"To Die For","Sam Smith",1103504,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
90,"HIGHEST IN THE ROOM","Travis Scott",1090338,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
91,Skechers,DripReport,1080421,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
92,"Pero Ya No","Bad Bunny",1077381,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
93,"when the party's over","Billie Eilish",1070406,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
94,"Ballin' (with Roddy Ricch)",Mustard,1063894,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
95,"Know Your Worth",Khalid,1053932,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
96,"Never Seen the Rain","Tones And I",1051988,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
97,Keii,"Anuel AA",1049475,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
98,"No Idea","Don Toliver",1031366,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
99,Shallow,"Lady Gaga",1022510,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
100,Maniac,"Conan Gray",1000917,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
101,Savage,"Megan Thee Stallion",997823,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
102,Lalala,Y2K,991410,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
103,"rockstar (feat. 21 Savage)","Post Malone",982942,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
104,"I Love Me","Demi Lovato",981639,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
105,"Watermelon Sugar","Harry Styles",974947,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
106,"It's You","Ali Gatie",969620,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
107,China,"Anuel AA",968956,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
108,"Lose You To Love Me","Selena Gomez",968555,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
109,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",965351,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
110,Suicidal,"YNW Melly",961256,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
111,Muévelo,"Nicky Jam",959968,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
112,"7 rings","Ariana Grande",955917,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
113,BOP,DaBaby,950332,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
114,"Me Gusta",Shakira,948088,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
115,Happier,Marshmello,938083,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
116,Falling,"Harry Styles",936405,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
117,"Goodbyes (Feat. Young Thug)","Post Malone",933829,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
118,Believer,"Imagine Dragons",932816,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
119,"LA CANCIÓN","J Balvin",925184,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
120,"Like That (feat. Gucci Mane)","Doja Cat",922565,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
121,"Baby Pluto","Lil Uzi Vert",921988,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
122,"In Your Eyes (feat. Alida)","Robin Schulz",921017,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
123,"A Tu Merced","Bad Bunny",916078,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
124,Callaita,"Bad Bunny",907158,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
125,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",898366,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
126,"Old Town Road - Remix","Lil Nas X",895142,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
127,WANNABE,ITZY,889940,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
128,Ransom,"Lil Tecca",872535,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
129,SUGAR,BROCKHAMPTON,868856,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
130,"Go Stupid","Polo G",863969,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
131,"No Me Conoce - Remix","Jhay Cortez",859814,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
132,"Bohemian Rhapsody - 2011 Mix",Queen,859473,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
133,Fantasias,"Rauw Alejandro",848880,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
134,"Get You The Moon (feat. Snøw)",Kina,843828,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
135,Bruises,"Lewis Capaldi",842587,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
136,Bichiyal,"Bad Bunny",842218,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
137,Medusa,"Jhay Cortez",829905,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
138,SAD!,XXXTENTACION,824905,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
139,Sucker,"Jonas Brothers",822571,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
140,"Fantasias - Remix","Rauw Alejandro",822102,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
141,"Lo Mein","Lil Uzi Vert",820127,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
142,Wow.,"Post Malone",819345,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
143,Robbery,"Juice WRLD",817848,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
144,"Without Me",Halsey,814542,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
145,"OUT WEST (feat. Young Thug)",JACKBOYS,810938,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
146,"Jocelyn Flores",XXXTENTACION,805751,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
147,Woah,"Lil Baby",802853,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
148,Starboy,"The Weeknd",801302,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
149,"Say You Won't Let Go","James Arthur",796567,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
150,"SICKO MODE","Travis Scott",794077,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
151,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",791602,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
152,"Shape of You","Ed Sheeran",790205,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
153,"How Do You Sleep?","Sam Smith",789722,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
154,"Call Out My Name","The Weeknd",781639,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
155,"Money In The Grave (Drake ft. Rick Ross)",Drake,773047,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
156,July,"Noah Cyrus",772963,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
157,Moonlight,XXXTENTACION,763327,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
158,"Make You Mine",PUBLIC,762227,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
159,"Alone, Pt. II","Alan Walker",761410,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
160,"No Judgement","Niall Horan",756896,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G
161,"Feel Me","Selena Gomez",754360,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
162,25/8,"Bad Bunny",747121,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
163,ON,BTS,746457,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
164,goosebumps,"Travis Scott",745666,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
165,"Can We Kiss Forever?",Kina,744513,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
166,Dior,"Pop Smoke",744187,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
167,"ocean eyes","Billie Eilish",744120,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
168,"The Less I Know The Better","Tame Impala",729723,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
