,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6373470,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,6126830,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",4861709,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4721352,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4333805,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4095555,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4041361,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3558208,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3388813,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3073316,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Falling,"Trevor Daniel",2959516,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,"Break My Heart","Dua Lipa",2940168,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,"Sunday Best",Surfaces,2787716,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2709359,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2676773,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Physical,"Dua Lipa",2521244,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
17,"In Your Eyes","The Weeknd",2503451,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
18,"Yo Perreo Sola","Bad Bunny",2500585,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,ROXANNE,"Arizona Zervas",2490284,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,"Someone You Loved","Lewis Capaldi",2374880,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Savage,"Megan Thee Stallion",2356545,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
22,Tusa,"KAROL G",2307141,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
23,Circles,"Post Malone",2245618,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Boss Bitch","Doja Cat",2107261,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,"Adore You","Harry Styles",2042226,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,Rojo,"J Balvin",2014616,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
