,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5964791,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",4931534,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"The Box","Roddy Ricch",4137682,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Dance Monkey","Tones And I",3951603,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Roses - Imanbek Remix","SAINt JHN",3868587,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3443589,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Break My Heart","Dua Lipa",3255639,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
8,Safaera,"Bad Bunny",3202612,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,"Say So","Doja Cat",3188909,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3036844,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Physical,"Dua Lipa",2952638,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
12,"Blueberry Faygo","Lil Mosey",2853580,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
13,Falling,"Trevor Daniel",2767876,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,"In Your Eyes","The Weeknd",2638873,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
15,"Sunday Best",Surfaces,2592989,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,Tusa,"KAROL G",2484842,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
17,ROXANNE,"Arizona Zervas",2440667,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Supalonely,BENEE,2369371,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,"Someone You Loved","Lewis Capaldi",2231052,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Rojo,"J Balvin",2202220,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
21,"La Difícil","Bad Bunny",2170290,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
22,Circles,"Post Malone",2153798,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"Yo Perreo Sola","Bad Bunny",2131916,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
24,"BELIEVE IT",PARTYNEXTDOOR,1987610,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
25,"Turks (feat. Travis Scott)",NAV,1953176,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
26,"Si Veo a Tu Mamá","Bad Bunny",1940730,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
27,"Adore You","Harry Styles",1931245,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,Memories,"Maroon 5",1878027,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"After Hours","The Weeknd",1857053,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
30,Ignorantes,"Bad Bunny",1829074,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
31,Savage,"Megan Thee Stallion",1820509,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
32,"Godzilla (feat. Juice WRLD)",Eminem,1788711,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,"bad guy","Billie Eilish",1737497,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
34,"everything i wanted","Billie Eilish",1665378,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,"Life Is Good (feat. Drake)",Future,1623840,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
36,"Before You Go","Lewis Capaldi",1601260,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,Morado,"J Balvin",1593040,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
38,Amarillo,"J Balvin",1579969,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
39,"Boss Bitch","Doja Cat",1552130,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
40,"WHATS POPPIN","Jack Harlow",1540786,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
41,Yummy,"Justin Bieber",1534870,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
42,Señorita,"Shawn Mendes",1525639,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
43,"Sigues Con El","Dimelo Flow",1390305,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
44,Tattoo,"Rauw Alejandro",1351808,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
45,"Like It Is",Kygo,1349181,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
