,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",7001404,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4718831,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4415524,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4181964,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Roses - Imanbek Remix","SAINt JHN",4045847,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3585270,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3544148,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Intentions (feat. Quavo)","Justin Bieber",3389288,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,"In Your Eyes","The Weeknd",3370545,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
10,Falling,"Trevor Daniel",3071310,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Safaera,"Bad Bunny",3044878,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Tusa,"KAROL G",2824140,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,"Sunday Best",Surfaces,2822404,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,ROXANNE,"Arizona Zervas",2773271,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,"Blueberry Faygo","Lil Mosey",2705948,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"After Hours","The Weeknd",2641468,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
17,Rojo,"J Balvin",2590985,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
18,Supalonely,BENEE,2563261,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,"Someone You Loved","Lewis Capaldi",2460959,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Circles,"Post Malone",2437881,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,"La Difícil","Bad Bunny",2368163,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
22,"Godzilla (feat. Juice WRLD)",Eminem,2280509,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,"Adore You","Harry Styles",2238271,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Memories,"Maroon 5",2095440,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"Si Veo a Tu Mamá","Bad Bunny",2088769,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
26,Amarillo,"J Balvin",2028983,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
27,Physical,"Dua Lipa",1991143,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
28,Heartless,"The Weeknd",1984670,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
29,Ignorantes,"Bad Bunny",1983765,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
30,"Life Is Good (feat. Drake)",Future,1900904,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
31,Yummy,"Justin Bieber",1888316,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
32,"everything i wanted","Billie Eilish",1886125,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
33,Morado,"J Balvin",1885514,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
34,"bad guy","Billie Eilish",1883221,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,"Before You Go","Lewis Capaldi",1782459,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,"Save Your Tears","The Weeknd",1758533,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
37,Señorita,"Shawn Mendes",1716906,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
38,"Hardest To Love","The Weeknd",1664485,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
39,"WHATS POPPIN","Jack Harlow",1635361,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
40,"Scared To Live","The Weeknd",1571412,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
41,"Sigues Con El","Dimelo Flow",1508465,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
42,"Alone Again","The Weeknd",1507865,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
