,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6102655,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,5758714,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",4575201,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4567351,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4124930,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Dance Monkey","Tones And I",4001087,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3844786,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Blueberry Faygo","Lil Mosey",3271222,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3187325,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",2905847,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Falling,"Trevor Daniel",2838534,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,"Break My Heart","Dua Lipa",2756922,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,Safaera,"Bad Bunny",2704388,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,"Sunday Best",Surfaces,2634632,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,Supalonely,BENEE,2513828,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Yo Perreo Sola","Bad Bunny",2470715,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
17,Physical,"Dua Lipa",2413496,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
18,"In Your Eyes","The Weeknd",2362327,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,ROXANNE,"Arizona Zervas",2350087,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,Tusa,"KAROL G",2325253,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
21,"Someone You Loved","Lewis Capaldi",2254114,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
