,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",7086962,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4726252,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4396688,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4146891,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Roses - Imanbek Remix","SAINt JHN",3820301,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3508651,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3496369,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"In Your Eyes","The Weeknd",3479390,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
9,"Intentions (feat. Quavo)","Justin Bieber",3402186,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,Falling,"Trevor Daniel",3062706,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Safaera,"Bad Bunny",3011377,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Tusa,"KAROL G",2878832,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,"After Hours","The Weeknd",2831699,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
14,"Sunday Best",Surfaces,2797464,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,ROXANNE,"Arizona Zervas",2786757,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,"Blueberry Faygo","Lil Mosey",2659595,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,Rojo,"J Balvin",2651448,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
18,Supalonely,BENEE,2476997,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,"Someone You Loved","Lewis Capaldi",2466324,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Circles,"Post Malone",2411643,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,"La Difícil","Bad Bunny",2396230,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
22,"Godzilla (feat. Juice WRLD)",Eminem,2272351,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,"Adore You","Harry Styles",2198454,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Heartless,"The Weeknd",2156935,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
25,"Si Veo a Tu Mamá","Bad Bunny",2120985,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
26,Amarillo,"J Balvin",2109311,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
27,Memories,"Maroon 5",2108247,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,Ignorantes,"Bad Bunny",2007053,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
29,Physical,"Dua Lipa",1972979,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
30,Morado,"J Balvin",1945983,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
31,"Save Your Tears","The Weeknd",1917946,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
32,Yummy,"Justin Bieber",1909052,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
33,"Life Is Good (feat. Drake)",Future,1887789,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
34,"Hardest To Love","The Weeknd",1886287,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
35,"bad guy","Billie Eilish",1876702,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,"everything i wanted","Billie Eilish",1874120,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
37,"Scared To Live","The Weeknd",1809834,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
38,"Before You Go","Lewis Capaldi",1776913,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,"Alone Again","The Weeknd",1763466,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
40,"Too Late","The Weeknd",1731115,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
41,Señorita,"Shawn Mendes",1717900,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,"WHATS POPPIN","Jack Harlow",1606917,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
43,Faith,"The Weeknd",1580489,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
44,Snowchild,"The Weeknd",1522515,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
45,"Sigues Con El","Dimelo Flow",1515819,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
46,"Escape From LA","The Weeknd",1503741,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
47,Vete,"Bad Bunny",1476958,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
48,"La Santa","Bad Bunny",1458571,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
49,Tattoo,"Rauw Alejandro",1416365,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
50,"You should be sad",Halsey,1404827,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
51,"Moral of the Story",Ashe,1403229,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
52,"My Oh My (feat. DaBaby)","Camila Cabello",1402285,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
53,"RITMO (Bad Boys For Life)","Black Eyed Peas",1401737,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
54,"No Time To Die","Billie Eilish",1393190,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
55,"High Fashion (feat. Mustard)","Roddy Ricch",1377924,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
56,"Boss Bitch","Doja Cat",1359169,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
57,"Stupid Love","Lady Gaga",1347506,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
58,"lovely (with Khalid)","Billie Eilish",1344485,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"Ride It",Regard,1327576,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
60,Savage,"Megan Thee Stallion",1321872,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
61,"Yo Perreo Sola","Bad Bunny",1310145,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
62,"Lose Control",MEDUZA,1304824,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
63,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1304114,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
64,"CITY OF ANGELS",24kGoldn,1296280,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
65,Diosa,"Myke Towers",1287817,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
66,"That Way - Bonus Track","Lil Uzi Vert",1278764,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
67,"I Don't Care (with Justin Bieber)","Ed Sheeran",1271947,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
68,P2,"Lil Uzi Vert",1262671,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
69,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1212514,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
70,"hot girl bummer",blackbear,1211472,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
71,Skechers,DripReport,1208434,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
72,"Lucid Dreams","Juice WRLD",1150883,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,"What A Man Gotta Do","Jonas Brothers",1142249,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
74,"10,000 Hours (with Justin Bieber)","Dan + Shay",1138580,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
75,"Hola - Remix",Dalex,1137660,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
76,"Forever (feat. Post Malone & Clever)","Justin Bieber",1116463,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
77,"Repeat After Me (Interlude)","The Weeknd",1112187,https://open.spotify.com/track/40U8d12pC5UHqmHwXjHjjl
78,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1107760,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
79,Blanco,"J Balvin",1100380,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
80,"when the party's over","Billie Eilish",1098711,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
81,"What If I Told You That I Love You","Ali Gatie",1090884,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
82,Azul,"J Balvin",1090783,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
83,"Beautiful People (feat. Khalid)","Ed Sheeran",1089521,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
84,"Know Your Worth",Khalid,1075315,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
85,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1066653,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
86,"To Die For","Sam Smith",1063529,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
87,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",1058306,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
88,"Never Seen the Rain","Tones And I",1037369,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
89,"HIGHEST IN THE ROOM","Travis Scott",1026205,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
90,Myron,"Lil Uzi Vert",1014613,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
91,"Ballin' (with Roddy Ricch)",Mustard,991857,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
92,Lalala,Y2K,979680,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
93,Keii,"Anuel AA",975027,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
94,"No Idea","Don Toliver",973499,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
95,"Until I Bleed Out","The Weeknd",973353,https://open.spotify.com/track/2BcnxwxBuar5wjCaLqm5N3
96,Shallow,"Lady Gaga",969286,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
97,"Like That (feat. Gucci Mane)","Doja Cat",967018,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
98,"It's You","Ali Gatie",965626,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
99,"Pero Ya No","Bad Bunny",958764,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
100,"Watermelon Sugar","Harry Styles",955033,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,Falling,"Harry Styles",948993,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
102,"rockstar (feat. 21 Savage)","Post Malone",944722,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
103,"Lose You To Love Me","Selena Gomez",937999,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
104,Suicidal,"YNW Melly",930972,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
105,"In Your Eyes (feat. Alida)","Robin Schulz",928828,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
106,"7 rings","Ariana Grande",927463,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
107,Believer,"Imagine Dragons",925644,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,China,"Anuel AA",913374,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
109,"I Love Me","Demi Lovato",902647,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
110,"A Tu Merced","Bad Bunny",900010,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
111,Muévelo,"Nicky Jam",899823,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
112,Happier,Marshmello,893834,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
113,Maniac,"Conan Gray",889885,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
114,"Goodbyes (Feat. Young Thug)","Post Malone",889615,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
115,"OUT WEST (feat. Young Thug)",JACKBOYS,885762,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
116,BOP,DaBaby,882103,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
117,Gris,"J Balvin",881476,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
118,"Me Gusta",Shakira,876113,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
119,"Get You The Moon (feat. Snøw)",Kina,862572,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
