,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6294146,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,6283959,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",5084360,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4705915,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4305166,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4188579,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4093549,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3610680,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3406821,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",3033701,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",3020550,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2932437,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2732481,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2729141,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2589226,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Physical,"Dua Lipa",2482309,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
17,Savage,"Megan Thee Stallion",2455586,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
18,"In Your Eyes","The Weeknd",2446736,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,"Yo Perreo Sola","Bad Bunny",2439646,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
20,ROXANNE,"Arizona Zervas",2436161,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,Tusa,"KAROL G",2348451,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,"Someone You Loved","Lewis Capaldi",2323883,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Circles,"Post Malone",2232474,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Boss Bitch","Doja Cat",2150005,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,Rojo,"J Balvin",2006639,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
26,"Adore You","Harry Styles",2005181,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"WHATS POPPIN","Jack Harlow",1949684,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
28,Memories,"Maroon 5",1921663,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"BELIEVE IT",PARTYNEXTDOOR,1908396,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
30,"Life Is Good (feat. Drake)",Future,1903762,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
31,"bad guy","Billie Eilish",1815572,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,"Godzilla (feat. Juice WRLD)",Eminem,1782171,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,"Before You Go","Lewis Capaldi",1716219,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"everything i wanted","Billie Eilish",1685766,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,Señorita,"Shawn Mendes",1643457,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,"La Difícil","Bad Bunny",1640156,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
37,Skechers,DripReport,1583921,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
38,Ignorantes,"Bad Bunny",1539473,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
39,"After Hours","The Weeknd",1507645,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
40,"Si Veo a Tu Mamá","Bad Bunny",1505386,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
41,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1484523,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
42,Yummy,"Justin Bieber",1469723,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
43,"FIND MY WAY",DaBaby,1468456,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
