,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",7766254,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4825398,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4614239,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4140963,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"In Your Eyes","The Weeknd",3896153,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
6,"After Hours","The Weeknd",3560306,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
7,"Say So","Doja Cat",3423581,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Roses - Imanbek Remix","SAINt JHN",3311379,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"Intentions (feat. Quavo)","Justin Bieber",3308742,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3248180,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
11,Safaera,"Bad Bunny",3101549,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Tusa,"KAROL G",3072714,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,Falling,"Trevor Daniel",3066657,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,"Alone Again","The Weeknd",3006005,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
15,Rojo,"J Balvin",3002490,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
16,Heartless,"The Weeknd",2899977,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
17,"Hardest To Love","The Weeknd",2877418,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
18,"Scared To Live","The Weeknd",2845442,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
19,ROXANNE,"Arizona Zervas",2843871,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,"Too Late","The Weeknd",2819317,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
21,"Sunday Best",Surfaces,2713231,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
22,"La Difícil","Bad Bunny",2593445,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
23,"Blueberry Faygo","Lil Mosey",2583151,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,"Save Your Tears","The Weeknd",2546412,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Snowchild,"The Weeknd",2513981,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
26,Amarillo,"J Balvin",2486277,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
27,Circles,"Post Malone",2434548,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,"Escape From LA","The Weeknd",2433295,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
29,"Someone You Loved","Lewis Capaldi",2426505,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,Faith,"The Weeknd",2423496,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
31,Supalonely,BENEE,2345255,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
32,"Godzilla (feat. Juice WRLD)",Eminem,2338831,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,"Si Veo a Tu Mamá","Bad Bunny",2317042,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
34,Morado,"J Balvin",2287297,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
35,"Adore You","Harry Styles",2160020,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
36,Memories,"Maroon 5",2144931,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
37,Ignorantes,"Bad Bunny",2132937,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
38,Yummy,"Justin Bieber",1971130,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
39,"bad guy","Billie Eilish",1938996,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
40,"Life Is Good (feat. Drake)",Future,1884043,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
41,"everything i wanted","Billie Eilish",1849541,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
42,Señorita,"Shawn Mendes",1791691,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
