,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6896850,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4481994,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4202117,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",3800325,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"In Your Eyes","The Weeknd",3336159,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
6,"Roses - Imanbek Remix","SAINt JHN",3186409,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Say So","Doja Cat",3149231,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3111000,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,"Intentions (feat. Quavo)","Justin Bieber",3038627,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,"After Hours","The Weeknd",3002102,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
11,Safaera,"Bad Bunny",2862239,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Falling,"Trevor Daniel",2848655,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,Tusa,"KAROL G",2795987,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,Rojo,"J Balvin",2628987,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
15,ROXANNE,"Arizona Zervas",2614610,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,"Sunday Best",Surfaces,2564018,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,Heartless,"The Weeknd",2412376,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
18,"Blueberry Faygo","Lil Mosey",2404387,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"La Difícil","Bad Bunny",2328675,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
20,"Alone Again","The Weeknd",2316933,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
21,"Someone You Loved","Lewis Capaldi",2289922,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"Hardest To Love","The Weeknd",2282880,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
23,Circles,"Post Malone",2234610,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Supalonely,BENEE,2219100,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
25,"Scared To Live","The Weeknd",2218850,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
26,"Too Late","The Weeknd",2180434,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
27,Amarillo,"J Balvin",2143033,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
28,"Godzilla (feat. Juice WRLD)",Eminem,2125178,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
29,"Save Your Tears","The Weeknd",2107531,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
30,"Si Veo a Tu Mamá","Bad Bunny",2093255,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
31,"Adore You","Harry Styles",2000196,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
32,Morado,"J Balvin",1983250,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
33,Memories,"Maroon 5",1975548,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
34,Ignorantes,"Bad Bunny",1930699,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
35,Snowchild,"The Weeknd",1926508,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
