,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5069261,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",4941598,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4603829,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",3985299,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Tusa,"KAROL G",3279498,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,"Intentions (feat. Quavo)","Justin Bieber",3263256,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Say So","Doja Cat",3219593,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,Safaera,"Bad Bunny",3169042,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,"La Difícil","Bad Bunny",3145312,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
10,Falling,"Trevor Daniel",3090869,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,ROXANNE,"Arizona Zervas",2967056,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Si Veo a Tu Mamá","Bad Bunny",2761164,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
13,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2608444,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,"Godzilla (feat. Juice WRLD)",Eminem,2587103,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,Ignorantes,"Bad Bunny",2561647,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
16,Circles,"Post Malone",2447892,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Sunday Best",Surfaces,2439603,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"Blueberry Faygo","Lil Mosey",2398111,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Someone You Loved","Lewis Capaldi",2389451,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"Roses - Imanbek Remix","SAINt JHN",2305545,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
21,Memories,"Maroon 5",2129564,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Yummy,"Justin Bieber",2042326,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
23,"Adore You","Harry Styles",2004011,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,"Life Is Good (feat. Drake)",Future,2002010,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,Supalonely,BENEE,1995077,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
26,"bad guy","Billie Eilish",1940744,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
27,Vete,"Bad Bunny",1922887,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
28,"La Santa","Bad Bunny",1893256,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
29,"everything i wanted","Billie Eilish",1890429,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
30,Rojo,"J Balvin",1880902,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
31,Myron,"Lil Uzi Vert",1857729,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
32,"Before You Go","Lewis Capaldi",1778857,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,Señorita,"Shawn Mendes",1757098,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
34,"That Way - Bonus Track","Lil Uzi Vert",1750375,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
35,Physical,"Dua Lipa",1730225,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
36,P2,"Lil Uzi Vert",1722992,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
37,"Sigues Con El","Dimelo Flow",1704036,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
38,"Yo Perreo Sola","Bad Bunny",1669557,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
39,"No Time To Die","Billie Eilish",1628799,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
40,"Stupid Love","Lady Gaga",1601721,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
41,"WHATS POPPIN","Jack Harlow",1566764,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
42,"RITMO (Bad Boys For Life)","Black Eyed Peas",1556371,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
