,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6481487,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",5181871,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"Roses - Imanbek Remix","SAINt JHN",4519239,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"The Box","Roddy Ricch",4436731,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Dance Monkey","Tones And I",4131212,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3913903,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3472776,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Break My Heart","Dua Lipa",3419761,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
9,"Intentions (feat. Quavo)","Justin Bieber",3338159,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,"Blueberry Faygo","Lil Mosey",3327474,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,Safaera,"Bad Bunny",3107607,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Falling,"Trevor Daniel",3032005,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,Physical,"Dua Lipa",2975529,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
14,"Sunday Best",Surfaces,2837536,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"In Your Eyes","The Weeknd",2817291,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
16,Supalonely,BENEE,2684551,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,ROXANNE,"Arizona Zervas",2641741,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
