,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5679056,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,5565572,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",4541050,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4223459,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3877861,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"The Box","Roddy Ricch",3774559,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"Dance Monkey","Tones And I",3682887,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3252954,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3074121,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",2681302,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,Falling,"Trevor Daniel",2638854,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,"Intentions (feat. Quavo)","Justin Bieber",2637732,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"Sunday Best",Surfaces,2512708,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2450637,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2375599,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,"Yo Perreo Sola","Bad Bunny",2261818,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
17,Savage,"Megan Thee Stallion",2194452,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
18,ROXANNE,"Arizona Zervas",2180229,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,"In Your Eyes","The Weeknd",2146085,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
20,"Someone You Loved","Lewis Capaldi",2123450,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Tusa,"KAROL G",2106259,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,Physical,"Dua Lipa",2068164,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
23,Circles,"Post Malone",1998757,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Boss Bitch","Doja Cat",1910744,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,Rojo,"J Balvin",1818778,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
26,"Adore You","Harry Styles",1790615,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,Memories,"Maroon 5",1734730,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,"Life Is Good (feat. Drake)",Future,1688821,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
29,"WHATS POPPIN","Jack Harlow",1680144,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
30,"bad guy","Billie Eilish",1641747,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Before You Go","Lewis Capaldi",1587107,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,Skechers,DripReport,1568532,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
33,"Godzilla (feat. Juice WRLD)",Eminem,1533418,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
34,Señorita,"Shawn Mendes",1530051,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
35,"Level of Concern","Twenty One Pilots",1517352,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
36,"everything i wanted","Billie Eilish",1489467,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
37,"BELIEVE IT",PARTYNEXTDOOR,1478180,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
38,"La Difícil","Bad Bunny",1438786,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
39,Boyfriend,"Selena Gomez",1390905,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
40,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1386386,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
41,Tattoo,"Rauw Alejandro",1358173,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
42,Favorito,Camilo,1353313,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5
43,"Si Veo a Tu Mamá","Bad Bunny",1349644,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
44,Ignorantes,"Bad Bunny",1346156,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
45,Amarillo,"J Balvin",1341743,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
46,"Ride It",Regard,1323826,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
47,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1302220,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
48,Yummy,"Justin Bieber",1297769,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
49,"After Hours","The Weeknd",1271465,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
50,"Lose Control",MEDUZA,1241580,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
51,"lovely (with Khalid)","Billie Eilish",1192220,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
52,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1162684,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
53,"FIND MY WAY",DaBaby,1161881,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
54,"High Fashion (feat. Mustard)","Roddy Ricch",1147177,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
55,"Sigues Con El","Dimelo Flow",1146931,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
56,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1145478,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
57,Morado,"J Balvin",1142015,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
58,"Like It Is",Kygo,1129193,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
59,"RITMO (Bad Boys For Life)","Black Eyed Peas",1117134,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
60,"Breaking Me",Topic,1113598,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
61,"Turks (feat. Travis Scott)",NAV,1101307,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
62,Diosa,"Myke Towers",1076079,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
63,"CITY OF ANGELS",24kGoldn,1036939,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
64,"I Don't Care (with Justin Bieber)","Ed Sheeran",1036362,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
65,"hot girl bummer",blackbear,1031610,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
66,"You should be sad",Halsey,1025215,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
67,"Lucid Dreams","Juice WRLD",1016497,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
