,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6846509,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",5693807,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"The Box","Roddy Ricch",4578685,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Dance Monkey","Tones And I",4518077,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Roses - Imanbek Remix","SAINt JHN",4360434,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3695747,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Break My Heart","Dua Lipa",3688979,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
8,"Say So","Doja Cat",3545896,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,Safaera,"Bad Bunny",3516331,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
10,Physical,"Dua Lipa",3469416,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
11,"Intentions (feat. Quavo)","Justin Bieber",3394535,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",3060862,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"In Your Eyes","The Weeknd",3040234,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
14,"Blueberry Faygo","Lil Mosey",2988417,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,Tusa,"KAROL G",2836616,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"Sunday Best",Surfaces,2825662,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,ROXANNE,"Arizona Zervas",2689606,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Supalonely,BENEE,2600997,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,Rojo,"J Balvin",2502933,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
20,"La Difícil","Bad Bunny",2434782,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
21,"Someone You Loved","Lewis Capaldi",2378337,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Circles,"Post Malone",2342054,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"BELIEVE IT",PARTYNEXTDOOR,2203203,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
24,"Turks (feat. Travis Scott)",NAV,2201499,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
25,"Yo Perreo Sola","Bad Bunny",2162536,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
26,"Si Veo a Tu Mamá","Bad Bunny",2158215,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
27,"Adore You","Harry Styles",2121837,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"After Hours","The Weeknd",2094619,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
29,Memories,"Maroon 5",2078614,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,Ignorantes,"Bad Bunny",2036353,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
