,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5630231,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5039045,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4853178,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4424196,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",3998477,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",3822032,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Say So","Doja Cat",3554096,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Si Veo a Tu Mamá","Bad Bunny",3481470,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
9,Tusa,"KAROL G",3397090,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Falling,"Trevor Daniel",3338474,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Ignorantes,"Bad Bunny",3333613,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
12,ROXANNE,"Arizona Zervas",3110197,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Safaera,"Bad Bunny",3085676,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,Circles,"Post Malone",2794580,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"That Way - Bonus Track","Lil Uzi Vert",2646196,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
16,"Someone You Loved","Lewis Capaldi",2645711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,P2,"Lil Uzi Vert",2624093,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
18,"Baby Pluto","Lil Uzi Vert",2617877,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
19,"Roses - Imanbek Remix","SAINt JHN",2534170,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"La Santa","Bad Bunny",2518721,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
21,"Blueberry Faygo","Lil Mosey",2502638,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
22,"Sunday Best",Surfaces,2484602,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
23,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2464062,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
24,Yummy,"Justin Bieber",2395493,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,"Life Is Good (feat. Drake)",Future,2358620,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
26,Memories,"Maroon 5",2357347,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,Vete,"Bad Bunny",2311521,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
28,"Adore You","Harry Styles",2296924,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"Godzilla (feat. Juice WRLD)",Eminem,2258111,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
30,"Stupid Love","Lady Gaga",2194262,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
31,"everything i wanted","Billie Eilish",2154845,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
32,"No Time To Die","Billie Eilish",2109063,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
33,"Lo Mein","Lil Uzi Vert",2104204,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
34,"Yo Perreo Sola","Bad Bunny",2060224,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
35,"bad guy","Billie Eilish",2055879,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,Physical,"Dua Lipa",2017931,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
37,"Before You Go","Lewis Capaldi",1973811,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"After Hours","The Weeknd",1969826,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
39,"Silly Watch","Lil Uzi Vert",1943531,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
40,"You should be sad",Halsey,1912464,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
