,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5688115,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5143233,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4909599,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4500630,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",3961700,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",3805425,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Say So","Doja Cat",3639789,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,Safaera,"Bad Bunny",3426807,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,Tusa,"KAROL G",3394819,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Si Veo a Tu Mamá","Bad Bunny",3379209,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
11,Falling,"Trevor Daniel",3338030,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,Ignorantes,"Bad Bunny",3299404,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
13,ROXANNE,"Arizona Zervas",3133371,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,Circles,"Post Malone",2832263,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Godzilla (feat. Juice WRLD)",Eminem,2763646,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
16,"Someone You Loved","Lewis Capaldi",2668126,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Blueberry Faygo","Lil Mosey",2588748,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2582025,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"Roses - Imanbek Remix","SAINt JHN",2521728,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"Sunday Best",Surfaces,2489165,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,"La Santa","Bad Bunny",2488987,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
22,Memories,"Maroon 5",2401462,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Yummy,"Justin Bieber",2389831,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
24,"Life Is Good (feat. Drake)",Future,2345087,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,"Adore You","Harry Styles",2336169,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,P2,"Lil Uzi Vert",2305904,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
27,Vete,"Bad Bunny",2279423,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
28,"everything i wanted","Billie Eilish",2242392,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"That Way - Bonus Track","Lil Uzi Vert",2233599,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
30,"bad guy","Billie Eilish",2135387,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Stupid Love","Lady Gaga",2111925,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
32,"No Time To Die","Billie Eilish",2087392,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
33,"Yo Perreo Sola","Bad Bunny",2036669,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
34,Physical,"Dua Lipa",2031151,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
35,"Before You Go","Lewis Capaldi",2016849,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,Señorita,"Shawn Mendes",1962994,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,"You should be sad",Halsey,1961733,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
38,Supalonely,BENEE,1929725,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
39,Rojo,"J Balvin",1921357,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
40,"After Hours","The Weeknd",1918807,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
41,"Baby Pluto","Lil Uzi Vert",1907493,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
42,"Sigues Con El","Dimelo Flow",1852648,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
43,"RITMO (Bad Boys For Life)","Black Eyed Peas",1766630,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
44,"My Oh My (feat. DaBaby)","Camila Cabello",1764080,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
45,Morado,"J Balvin",1721751,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
46,"Pero Ya No","Bad Bunny",1703634,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
47,"Moral of the Story",Ashe,1678340,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
48,"High Fashion (feat. Mustard)","Roddy Ricch",1598328,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
49,"WHATS POPPIN","Jack Harlow",1585285,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
50,"Lo Mein","Lil Uzi Vert",1541785,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
51,"I Love Me","Demi Lovato",1496166,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
52,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1486831,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
53,"Ride It",Regard,1481673,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
54,"Hola - Remix",Dalex,1451584,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
55,Diosa,"Myke Towers",1426126,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
56,"I Don't Care (with Justin Bieber)","Ed Sheeran",1408770,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
57,Tattoo,"Rauw Alejandro",1405889,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
58,"To Die For","Sam Smith",1388851,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
59,"Silly Watch","Lil Uzi Vert",1384925,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
60,"Lose Control",MEDUZA,1379985,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
61,"Forever (feat. Post Malone & Clever)","Justin Bieber",1372056,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
62,"lovely (with Khalid)","Billie Eilish",1350845,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
63,"hot girl bummer",blackbear,1332319,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
64,"CITY OF ANGELS",24kGoldn,1314092,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
65,"10,000 Hours (with Justin Bieber)","Dan + Shay",1313537,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
66,"What A Man Gotta Do","Jonas Brothers",1311686,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
67,"A Tu Merced","Bad Bunny",1297047,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
68,Bichiyal,"Bad Bunny",1276424,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
69,Keii,"Anuel AA",1272886,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
70,"What If I Told You That I Love You","Ali Gatie",1231964,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
71,"Beautiful People (feat. Khalid)","Ed Sheeran",1206891,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
