,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6495088,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,5461608,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Don't Start Now","Dua Lipa",5153976,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
4,"Roses - Imanbek Remix","SAINt JHN",4850582,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",4414158,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Dance Monkey","Tones And I",4218037,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3996789,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Blueberry Faygo","Lil Mosey",3471026,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3397740,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",3191688,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",3114321,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2997204,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,Safaera,"Bad Bunny",2919192,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,Physical,"Dua Lipa",2816892,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
15,"Sunday Best",Surfaces,2744569,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,"In Your Eyes","The Weeknd",2711244,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
17,Supalonely,BENEE,2652666,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,"Yo Perreo Sola","Bad Bunny",2565466,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,ROXANNE,"Arizona Zervas",2534738,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,Tusa,"KAROL G",2452086,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
21,"Someone You Loved","Lewis Capaldi",2406070,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"FIND MY WAY",DaBaby,2300151,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
23,Circles,"Post Malone",2270070,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Savage,"Megan Thee Stallion",2243727,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
25,Rojo,"J Balvin",2131633,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
26,"BELIEVE IT",PARTYNEXTDOOR,2119470,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
27,"Adore You","Harry Styles",2052892,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"Boss Bitch","Doja Cat",2005245,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
29,Memories,"Maroon 5",1981594,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,"Godzilla (feat. Juice WRLD)",Eminem,1899386,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,"La Difícil","Bad Bunny",1881923,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
32,"Life Is Good (feat. Drake)",Future,1879465,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
33,"bad guy","Billie Eilish",1864431,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
34,"Turks (feat. Travis Scott)",NAV,1845699,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
35,"WHATS POPPIN","Jack Harlow",1835205,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
36,"everything i wanted","Billie Eilish",1757365,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
37,"After Hours","The Weeknd",1732173,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
38,"Si Veo a Tu Mamá","Bad Bunny",1728764,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
39,Ignorantes,"Bad Bunny",1714106,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
40,"Before You Go","Lewis Capaldi",1695512,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,Señorita,"Shawn Mendes",1631759,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,Yummy,"Justin Bieber",1552810,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
43,Amarillo,"J Balvin",1545232,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
44,"Like It Is",Kygo,1540184,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
45,Tattoo,"Rauw Alejandro",1456986,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
46,"Sigues Con El","Dimelo Flow",1438856,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
47,Morado,"J Balvin",1419467,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
48,"High Fashion (feat. Mustard)","Roddy Ricch",1376037,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
49,"lovely (with Khalid)","Billie Eilish",1367459,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
50,"I'll Wait",Kygo,1353320,https://open.spotify.com/track/6Q3K9gVUZRMZqZKrXovbM2
51,"You should be sad",Halsey,1317714,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
52,"Ride It",Regard,1307680,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
53,Heartless,"The Weeknd",1296615,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
54,Vete,"Bad Bunny",1295698,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
55,"Lose Control",MEDUZA,1288205,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
56,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1287770,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
57,Skechers,DripReport,1279676,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
58,"Dear April (Side A - Acoustic)","Frank Ocean",1269545,https://open.spotify.com/track/62ljuuXo0zrcrtJnnOhfxT
59,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1267792,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
60,"RITMO (Bad Boys For Life)","Black Eyed Peas",1251521,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
61,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1228116,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"La Santa","Bad Bunny",1223270,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
63,"My Oh My (feat. DaBaby)","Camila Cabello",1222846,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
64,"hot girl bummer",blackbear,1219006,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
65,"CITY OF ANGELS",24kGoldn,1180473,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
66,Diosa,"Myke Towers",1178625,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
67,"I Don't Care (with Justin Bieber)","Ed Sheeran",1167058,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
68,"Moral of the Story",Ashe,1157893,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
69,"Cayendo (Side A - Acoustic)","Frank Ocean",1139839,https://open.spotify.com/track/72794Eag03xdy7TO0KNuid
70,"10,000 Hours (with Justin Bieber)","Dan + Shay",1120985,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
71,"Lucid Dreams","Juice WRLD",1109550,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
72,"Breaking Me",Topic,1070502,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
73,"Stupid Love","Lady Gaga",1068225,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
74,P2,"Lil Uzi Vert",1065224,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
75,"Like That (feat. Gucci Mane)","Doja Cat",1056895,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
76,"when the party's over","Billie Eilish",1053981,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
77,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1050142,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
78,"Hola - Remix",Dalex,1029496,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
79,"Beautiful People (feat. Khalid)","Ed Sheeran",1013209,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
80,"Know Your Worth",Khalid,993254,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
81,Shallow,"Lady Gaga",992008,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,"No Time To Die","Billie Eilish",990699,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
83,"ily (i love you baby) (feat. Emilee)","Surf Mesa",970148,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
84,"Save Your Tears","The Weeknd",967129,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
85,"HIGHEST IN THE ROOM","Travis Scott",966928,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
86,"That Way - Bonus Track","Lil Uzi Vert",964152,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
87,Salt,"Ava Max",957833,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
88,"Ballin' (with Roddy Ricch)",Mustard,955571,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
89,"Forever (feat. Post Malone & Clever)","Justin Bieber",952618,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
90,Myron,"Lil Uzi Vert",934563,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
91,Lalala,Y2K,932538,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
92,Follow,"KAROL G",931920,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
93,"In Your Eyes (feat. Alida)","Robin Schulz",931798,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
94,"Ain't No Sunshine","Bill Withers",931142,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt
95,"What If I Told You That I Love You","Ali Gatie",924883,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
96,"Take Yourself Home","Troye Sivan",919529,https://open.spotify.com/track/6YndZBGmLySgsVScckWkmO
97,"What A Man Gotta Do","Jonas Brothers",915245,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
98,"It's You","Ali Gatie",912844,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
