,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5822968,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5532669,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5269059,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4595405,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Intentions (feat. Quavo)","Justin Bieber",3681204,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,Tusa,"KAROL G",3672000,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
7,"La Difícil","Bad Bunny",3648509,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
8,Safaera,"Bad Bunny",3611124,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,"Say So","Doja Cat",3593037,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,Falling,"Trevor Daniel",3381840,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,ROXANNE,"Arizona Zervas",3271353,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Si Veo a Tu Mamá","Bad Bunny",3165332,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
13,Ignorantes,"Bad Bunny",2976572,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
14,"Godzilla (feat. Juice WRLD)",Eminem,2875627,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,Circles,"Post Malone",2698554,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
16,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2690150,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"Roses - Imanbek Remix","SAINt JHN",2667682,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Blueberry Faygo","Lil Mosey",2606713,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Someone You Loved","Lewis Capaldi",2573942,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"Sunday Best",Surfaces,2570328,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,Myron,"Lil Uzi Vert",2391991,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
22,Memories,"Maroon 5",2356024,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Yummy,"Justin Bieber",2294967,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
24,"Life Is Good (feat. Drake)",Future,2241776,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,Vete,"Bad Bunny",2218397,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
26,"La Santa","Bad Bunny",2210139,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
27,"Adore You","Harry Styles",2199897,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,Rojo,"J Balvin",2150911,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
29,"bad guy","Billie Eilish",2147447,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
30,Supalonely,BENEE,2067766,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
31,"everything i wanted","Billie Eilish",2037333,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
32,Physical,"Dua Lipa",2014080,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
33,"That Way - Bonus Track","Lil Uzi Vert",2004222,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
34,Señorita,"Shawn Mendes",1989001,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
35,"Sigues Con El","Dimelo Flow",1966398,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
36,P2,"Lil Uzi Vert",1956894,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
37,"Before You Go","Lewis Capaldi",1914901,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"Yo Perreo Sola","Bad Bunny",1911016,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
39,"Stupid Love","Lady Gaga",1900925,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
40,"RITMO (Bad Boys For Life)","Black Eyed Peas",1817322,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
41,"No Time To Die","Billie Eilish",1811393,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
42,Morado,"J Balvin",1771412,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
43,"You should be sad",Halsey,1712147,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
44,"WHATS POPPIN","Jack Harlow",1702939,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
45,"My Oh My (feat. DaBaby)","Camila Cabello",1680369,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
46,"After Hours","The Weeknd",1677756,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
47,"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert",1672694,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
48,"Baby Pluto","Lil Uzi Vert",1648154,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
49,"High Fashion (feat. Mustard)","Roddy Ricch",1584608,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
50,"Hola - Remix",Dalex,1558346,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
51,"Ride It",Regard,1540274,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
52,Diosa,"Myke Towers",1530818,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
53,Yessirskiii,"Lil Uzi Vert",1519513,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
54,"Moral of the Story",Ashe,1495952,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
55,Tattoo,"Rauw Alejandro",1494694,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
56,"Pero Ya No","Bad Bunny",1477204,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1457608,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,"Lose Control",MEDUZA,1368444,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
59,"I Don't Care (with Justin Bieber)","Ed Sheeran",1358349,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
60,"CITY OF ANGELS",24kGoldn,1346442,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
61,"hot girl bummer",blackbear,1331125,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
62,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",1305952,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
63,"lovely (with Khalid)","Billie Eilish",1296531,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
64,Keii,"Anuel AA",1291092,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
65,"Lo Mein","Lil Uzi Vert",1254520,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
66,"To Die For","Sam Smith",1225586,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
67,"10,000 Hours (with Justin Bieber)","Dan + Shay",1213489,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
68,"Lucid Dreams","Juice WRLD",1205956,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
69,"What A Man Gotta Do","Jonas Brothers",1205108,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
70,Muévelo,"Nicky Jam",1201828,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
71,"Forever (feat. Post Malone & Clever)","Justin Bieber",1195480,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
72,Bichiyal,"Bad Bunny",1189408,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
73,"Me Gusta",Shakira,1181338,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
74,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1180478,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
75,"I Love Me","Demi Lovato",1179962,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
76,"No Idea","Don Toliver",1167045,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
77,"A Tu Merced","Bad Bunny",1165029,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
78,"Boss Bitch","Doja Cat",1157103,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
79,"Ballin' (with Roddy Ricch)",Mustard,1156357,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
80,"Beautiful People (feat. Khalid)","Ed Sheeran",1155706,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
81,China,"Anuel AA",1143088,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
82,Lotus,"Lil Uzi Vert",1139930,https://open.spotify.com/track/4SnlSaLJJ7reJMCHM5YUuX
83,"HIGHEST IN THE ROOM","Travis Scott",1139450,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
84,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",1134267,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
85,"What If I Told You That I Love You","Ali Gatie",1133415,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
86,Cardigan,"Don Toliver",1119978,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
87,Shallow,"Lady Gaga",1112101,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
