,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5660315,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5074994,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4890667,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4499938,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",4063483,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",3817078,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Say So","Doja Cat",3593712,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Si Veo a Tu Mamá","Bad Bunny",3505846,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
9,Tusa,"KAROL G",3394751,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Ignorantes,"Bad Bunny",3381963,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
11,Falling,"Trevor Daniel",3339824,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,Safaera,"Bad Bunny",3332731,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,ROXANNE,"Arizona Zervas",3095770,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,Circles,"Post Malone",2821292,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Someone You Loved","Lewis Capaldi",2662843,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"La Santa","Bad Bunny",2559418,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
17,P2,"Lil Uzi Vert",2551092,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
18,"Godzilla (feat. Juice WRLD)",Eminem,2545056,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
19,"Blueberry Faygo","Lil Mosey",2530851,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
20,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2525666,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Roses - Imanbek Remix","SAINt JHN",2504547,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
22,"Sunday Best",Surfaces,2474548,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
23,"That Way - Bonus Track","Lil Uzi Vert",2450828,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
24,Yummy,"Justin Bieber",2388814,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
