,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6329218,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5718614,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5566567,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"La Difícil","Bad Bunny",4941288,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
5,"Don't Start Now","Dua Lipa",4915903,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,"Baby Pluto","Lil Uzi Vert",4691613,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
7,"Si Veo a Tu Mamá","Bad Bunny",4218770,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
8,"Intentions (feat. Quavo)","Justin Bieber",4202807,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,Ignorantes,"Bad Bunny",4061783,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
10,Tusa,"KAROL G",4013558,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,"Lo Mein","Lil Uzi Vert",3832346,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
12,"Say So","Doja Cat",3797897,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,Falling,"Trevor Daniel",3626602,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,ROXANNE,"Arizona Zervas",3468296,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,"Silly Watch","Lil Uzi Vert",3461779,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
16,"La Santa","Bad Bunny",3257872,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
17,Safaera,"Bad Bunny",2971967,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
18,Circles,"Post Malone",2964814,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,POP,"Lil Uzi Vert",2947283,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN
20,Vete,"Bad Bunny",2888882,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
21,"Someone You Loved","Lewis Capaldi",2822562,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"Roses - Imanbek Remix","SAINt JHN",2818813,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
23,"Stupid Love","Lady Gaga",2817693,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
24,Yummy,"Justin Bieber",2766006,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
