,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5993791,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5455083,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5227548,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4641866,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",4427627,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",4087955,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Si Veo a Tu Mamá","Bad Bunny",4086086,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
8,Ignorantes,"Bad Bunny",3964875,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
9,"Say So","Doja Cat",3690735,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,Tusa,"KAROL G",3667008,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,Falling,"Trevor Daniel",3537834,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,ROXANNE,"Arizona Zervas",3313103,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"La Santa","Bad Bunny",3226925,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
14,Vete,"Bad Bunny",2936150,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
15,"Stupid Love","Lady Gaga",2873512,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,Circles,"Post Malone",2813841,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Someone You Loved","Lewis Capaldi",2796346,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,Yummy,"Justin Bieber",2742848,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
19,"Life Is Good (feat. Drake)",Future,2687335,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
20,Safaera,"Bad Bunny",2599195,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
21,"everything i wanted","Billie Eilish",2597467,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,Memories,"Maroon 5",2554126,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,"No Time To Die","Billie Eilish",2552658,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
24,"Roses - Imanbek Remix","SAINt JHN",2532882,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
25,"Blueberry Faygo","Lil Mosey",2512508,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
26,"Sunday Best",Surfaces,2507156,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
27,"Godzilla (feat. Juice WRLD)",Eminem,2467573,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,"Adore You","Harry Styles",2420043,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"Yo Perreo Sola","Bad Bunny",2334925,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
