,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5870441,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5240107,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5057670,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"La Difícil","Bad Bunny",4627322,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
5,"Don't Start Now","Dua Lipa",4558374,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Ignorantes,"Bad Bunny",4313482,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
7,"Si Veo a Tu Mamá","Bad Bunny",4126547,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
8,"Intentions (feat. Quavo)","Justin Bieber",4074240,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,"Say So","Doja Cat",3570297,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,Tusa,"KAROL G",3560659,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,"La Santa","Bad Bunny",3502928,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
12,Falling,"Trevor Daniel",3482405,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,ROXANNE,"Arizona Zervas",3304491,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,Vete,"Bad Bunny",3143167,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
15,"Stupid Love","Lady Gaga",3122660,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,"No Time To Die","Billie Eilish",2769544,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
17,Circles,"Post Malone",2721753,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Life Is Good (feat. Drake)",Future,2698958,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,"Pero Ya No","Bad Bunny",2695646,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
20,"That Way","Lil Uzi Vert",2689390,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
21,Yummy,"Justin Bieber",2680664,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
22,"Someone You Loved","Lewis Capaldi",2659354,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"everything i wanted","Billie Eilish",2609899,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
24,Memories,"Maroon 5",2488013,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"Yo Perreo Sola","Bad Bunny",2481919,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
26,"Godzilla (feat. Juice WRLD)",Eminem,2416552,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,"Adore You","Harry Styles",2392621,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"After Hours","The Weeknd",2386745,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
29,"Roses - Imanbek Remix","SAINt JHN",2342783,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,"Sunday Best",Surfaces,2318823,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
31,"Blueberry Faygo","Lil Mosey",2292959,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
32,Safaera,"Bad Bunny",2169417,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
33,"bad guy","Billie Eilish",2127589,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
34,Bichiyal,"Bad Bunny",2111393,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
35,Soliá,"Bad Bunny",2101859,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
36,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2083219,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
37,"You should be sad",Halsey,2082507,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
38,"Before You Go","Lewis Capaldi",2069243,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,René,Residente,2069057,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
40,Rojo,"J Balvin",2010312,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
41,Physical,"Dua Lipa",1997675,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
42,Señorita,"Shawn Mendes",1969934,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
43,"My Oh My (feat. DaBaby)","Camila Cabello",1910396,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
44,"A Tu Merced","Bad Bunny",1902858,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
45,"Moral of the Story",Ashe,1882425,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
46,"Está Cabrón Ser Yo","Bad Bunny",1882410,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
47,"Sigues Con El","Dimelo Flow",1847521,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
48,"RITMO (Bad Boys For Life)","Black Eyed Peas",1842310,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
49,"Que Malo","Bad Bunny",1823441,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
