,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6453417,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",5147187,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"Roses - Imanbek Remix","SAINt JHN",4743119,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"The Box","Roddy Ricch",4423345,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Dance Monkey","Tones And I",4198254,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4017405,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3475696,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Blueberry Faygo","Lil Mosey",3406117,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Break My Heart","Dua Lipa",3300872,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
10,"Intentions (feat. Quavo)","Justin Bieber",3284646,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Falling,"Trevor Daniel",3110303,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,Safaera,"Bad Bunny",3037615,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,Physical,"Dua Lipa",2821535,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
14,"Sunday Best",Surfaces,2811765,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,Supalonely,BENEE,2685228,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"In Your Eyes","The Weeknd",2655365,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
17,ROXANNE,"Arizona Zervas",2627135,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Tusa,"KAROL G",2453510,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,"Someone You Loved","Lewis Capaldi",2452193,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Circles,"Post Malone",2355777,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,"Yo Perreo Sola","Bad Bunny",2340617,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
22,Rojo,"J Balvin",2211281,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
23,Savage,"Megan Thee Stallion",2160585,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
24,"Adore You","Harry Styles",2128401,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
25,"La Difícil","Bad Bunny",2106868,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
26,Memories,"Maroon 5",2041485,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Boss Bitch","Doja Cat",1928451,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
