,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6947596,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4751734,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4458521,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4361493,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Roses - Imanbek Remix","SAINt JHN",4240781,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3754670,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3608623,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Intentions (feat. Quavo)","Justin Bieber",3387737,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,"In Your Eyes","The Weeknd",3313491,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
10,Safaera,"Bad Bunny",3127509,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,Falling,"Trevor Daniel",3110538,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,"Sunday Best",Surfaces,2886212,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
13,ROXANNE,"Arizona Zervas",2816738,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Blueberry Faygo","Lil Mosey",2807764,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,Tusa,"KAROL G",2734492,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,Supalonely,BENEE,2661446,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,Rojo,"J Balvin",2552902,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
18,"Someone You Loved","Lewis Capaldi",2489990,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,Circles,"Post Malone",2470418,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,"After Hours","The Weeknd",2452419,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
21,"La Difícil","Bad Bunny",2363293,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
22,"Godzilla (feat. Juice WRLD)",Eminem,2292324,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,"Adore You","Harry Styles",2238582,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
