,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5265261,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5012444,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4538167,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4172888,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Intentions (feat. Quavo)","Justin Bieber",3432053,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"Say So","Doja Cat",3423187,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,Falling,"Trevor Daniel",3223473,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,Tusa,"KAROL G",3077507,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,ROXANNE,"Arizona Zervas",3040110,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,Safaera,"Bad Bunny",3017798,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,"La Difícil","Bad Bunny",2938121,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
12,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2931274,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Godzilla (feat. Juice WRLD)",Eminem,2669595,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
14,"Roses - Imanbek Remix","SAINt JHN",2626914,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
15,"Si Veo a Tu Mamá","Bad Bunny",2608898,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
16,"Sunday Best",Surfaces,2587548,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,"Blueberry Faygo","Lil Mosey",2582641,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,Circles,"Post Malone",2576184,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,"Someone You Loved","Lewis Capaldi",2537695,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Ignorantes,"Bad Bunny",2474751,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
21,Memories,"Maroon 5",2270291,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Supalonely,BENEE,2259053,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
23,"Adore You","Harry Styles",2197880,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Yummy,"Justin Bieber",2113073,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,"Life Is Good (feat. Drake)",Future,2055766,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
26,"everything i wanted","Billie Eilish",2026108,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
27,"bad guy","Billie Eilish",1988604,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,Rojo,"J Balvin",1946878,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
29,Physical,"Dua Lipa",1929866,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
30,"Before You Go","Lewis Capaldi",1875244,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Señorita,"Shawn Mendes",1810731,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
32,"La Santa","Bad Bunny",1791681,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
33,Vete,"Bad Bunny",1773497,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
34,P2,"Lil Uzi Vert",1686297,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
35,"No Time To Die","Billie Eilish",1678283,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
36,"Stupid Love","Lady Gaga",1676825,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
37,"That Way - Bonus Track","Lil Uzi Vert",1675322,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
38,"Sigues Con El","Dimelo Flow",1624664,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
39,"WHATS POPPIN","Jack Harlow",1609760,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
40,"My Oh My (feat. DaBaby)","Camila Cabello",1599002,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
41,"You should be sad",Halsey,1593686,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
42,"After Hours","The Weeknd",1588784,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
43,"Yo Perreo Sola","Bad Bunny",1574105,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
44,"Moral of the Story",Ashe,1536132,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
45,"RITMO (Bad Boys For Life)","Black Eyed Peas",1519127,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
46,Myron,"Lil Uzi Vert",1511543,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
47,"High Fashion (feat. Mustard)","Roddy Ricch",1507389,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
48,Morado,"J Balvin",1502078,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
49,Diosa,"Myke Towers",1415204,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1385945,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,Tattoo,"Rauw Alejandro",1384212,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
52,"lovely (with Khalid)","Billie Eilish",1337495,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"Ride It",Regard,1333324,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
54,"CITY OF ANGELS",24kGoldn,1315192,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
55,"hot girl bummer",blackbear,1296844,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
56,"I Don't Care (with Justin Bieber)","Ed Sheeran",1284676,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
57,"Lose Control",MEDUZA,1277104,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
58,"Hola - Remix",Dalex,1245411,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
59,"10,000 Hours (with Justin Bieber)","Dan + Shay",1211139,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
60,"To Die For","Sam Smith",1201393,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
61,"Lucid Dreams","Juice WRLD",1190144,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
62,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1184908,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
63,"Pero Ya No","Bad Bunny",1184625,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
64,"Boss Bitch","Doja Cat",1181337,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
65,"Baby Pluto","Lil Uzi Vert",1180576,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
66,"What A Man Gotta Do","Jonas Brothers",1165039,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
67,"What If I Told You That I Love You","Ali Gatie",1159726,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
68,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1140655,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
69,"Forever (feat. Post Malone & Clever)","Justin Bieber",1131815,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
70,"Beautiful People (feat. Khalid)","Ed Sheeran",1109645,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
71,"when the party's over","Billie Eilish",1106931,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
72,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",1096935,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
73,"I Love Me","Demi Lovato",1082123,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
74,"Ballin' (with Roddy Ricch)",Mustard,1080878,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
75,Keii,"Anuel AA",1080800,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
76,"Know Your Worth",Khalid,1076418,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
77,"HIGHEST IN THE ROOM","Travis Scott",1075206,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
78,"Never Seen the Rain","Tones And I",1028180,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
79,"No Idea","Don Toliver",1028093,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
80,Suicidal,"YNW Melly",1017742,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
81,Shallow,"Lady Gaga",1007971,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,"Me Gusta",Shakira,1004166,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
83,"Lose You To Love Me","Selena Gomez",1001015,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
84,"Watermelon Sugar","Harry Styles",997146,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
85,BOP,DaBaby,995589,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
86,Muévelo,"Nicky Jam",995540,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
87,"rockstar (feat. 21 Savage)","Post Malone",990516,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
88,"It's You","Ali Gatie",988656,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
89,Falling,"Harry Styles",986715,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
90,"A Tu Merced","Bad Bunny",986551,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
91,Bichiyal,"Bad Bunny",983179,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
92,Lalala,Y2K,974225,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
93,China,"Anuel AA",972780,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
94,"7 rings","Ariana Grande",964689,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
95,WANNABE,ITZY,960629,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
96,"Goodbyes (Feat. Young Thug)","Post Malone",949206,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
97,"Lo Mein","Lil Uzi Vert",945410,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
98,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",928956,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
99,Believer,"Imagine Dragons",928369,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
100,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",925223,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
101,Happier,Marshmello,923138,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
102,SUGAR,BROCKHAMPTON,910241,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
103,"Go Stupid","Polo G",899040,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
104,"In Your Eyes (feat. Alida)","Robin Schulz",895288,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
105,"LA CANCIÓN","J Balvin",881697,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
106,Ransom,"Lil Tecca",872482,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
107,"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert",870109,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
108,"Old Town Road - Remix","Lil Nas X",868544,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
109,Yessirskiii,"Lil Uzi Vert",865640,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
110,25/8,"Bad Bunny",861979,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
111,Callaita,"Bad Bunny",859458,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
112,"No Judgement","Niall Horan",856485,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G
113,Woah,"Lil Baby",854177,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
114,"Like That (feat. Gucci Mane)","Doja Cat",852116,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
115,Skechers,DripReport,849990,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
116,Fantasias,"Rauw Alejandro",847835,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
117,"Get You The Moon (feat. Snøw)",Kina,846467,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
118,"Feel Me","Selena Gomez",845498,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
119,Soliá,"Bad Bunny",843333,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
120,Bruises,"Lewis Capaldi",837860,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
121,Medusa,"Jhay Cortez",836942,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
122,SAD!,XXXTENTACION,828850,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
123,Wow.,"Post Malone",827122,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
124,"OUT WEST (feat. Young Thug)",JACKBOYS,822641,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
125,"Without Me",Halsey,822500,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
126,Sucker,"Jonas Brothers",822005,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
127,"Jocelyn Flores",XXXTENTACION,817556,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
128,"Está Cabrón Ser Yo","Bad Bunny",817461,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
129,"SICKO MODE","Travis Scott",816051,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
130,ON,BTS,815609,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
131,Robbery,"Juice WRLD",809905,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
132,"No Me Conoce - Remix","Jhay Cortez",805586,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
133,"Say You Won't Let Go","James Arthur",805560,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
134,"How Do You Sleep?","Sam Smith",804465,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
135,July,"Noah Cyrus",803394,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
136,"Hablamos Mañana","Bad Bunny",799575,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
137,"Bohemian Rhapsody - 2011 Mix",Queen,789921,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
138,"Fantasias - Remix","Rauw Alejandro",779480,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
139,Cardigan,"Don Toliver",776684,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
140,"Shape of You","Ed Sheeran",774573,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,"Alone, Pt. II","Alan Walker",765452,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
142,"Silly Watch","Lil Uzi Vert",764770,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
143,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,762979,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
144,"ocean eyes","Billie Eilish",760550,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
145,"Se Me Olvidó","Christian Nodal",751048,https://open.spotify.com/track/5Xitt5a5uLQ1QtYdFxmi9e
146,"The Less I Know The Better","Tame Impala",748690,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
147,Moonlight,XXXTENTACION,747688,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
148,Blanco,"J Balvin",746275,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
