,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5527891,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5084888,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4831364,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4393244,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",3889337,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",3687118,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Say So","Doja Cat",3558625,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,Safaera,"Bad Bunny",3522504,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,Tusa,"KAROL G",3357450,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Falling,"Trevor Daniel",3280699,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Si Veo a Tu Mamá","Bad Bunny",3276185,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
12,Ignorantes,"Bad Bunny",3225740,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
13,ROXANNE,"Arizona Zervas",3095570,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Godzilla (feat. Juice WRLD)",Eminem,2841683,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,Circles,"Post Malone",2767410,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
16,"Blueberry Faygo","Lil Mosey",2612435,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2610232,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Someone You Loved","Lewis Capaldi",2604861,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"Roses - Imanbek Remix","SAINt JHN",2472694,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"Sunday Best",Surfaces,2450480,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,"La Santa","Bad Bunny",2407851,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
22,Memories,"Maroon 5",2344653,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Yummy,"Justin Bieber",2315130,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
24,"Life Is Good (feat. Drake)",Future,2274055,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,"Adore You","Harry Styles",2264814,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,Vete,"Bad Bunny",2257445,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
27,P2,"Lil Uzi Vert",2177044,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
28,"everything i wanted","Billie Eilish",2153558,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"That Way - Bonus Track","Lil Uzi Vert",2102891,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
30,"bad guy","Billie Eilish",2083331,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,Physical,"Dua Lipa",1995353,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
32,"Stupid Love","Lady Gaga",1995205,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
33,"Yo Perreo Sola","Bad Bunny",1979224,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
34,Supalonely,BENEE,1961769,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
35,"No Time To Die","Billie Eilish",1959417,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
36,"Before You Go","Lewis Capaldi",1959068,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,Señorita,"Shawn Mendes",1933417,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
38,"You should be sad",Halsey,1898673,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
39,Rojo,"J Balvin",1881609,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
40,"Sigues Con El","Dimelo Flow",1873424,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
41,"After Hours","The Weeknd",1810163,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
42,"RITMO (Bad Boys For Life)","Black Eyed Peas",1728127,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
43,"My Oh My (feat. DaBaby)","Camila Cabello",1721663,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
44,Morado,"J Balvin",1701181,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
45,"Baby Pluto","Lil Uzi Vert",1676094,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
