,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5819620,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5429251,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5096903,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4590283,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"La Difícil","Bad Bunny",3807033,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
6,"Intentions (feat. Quavo)","Justin Bieber",3762239,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Safaera,"Bad Bunny",3694044,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
8,"Say So","Doja Cat",3610290,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,Tusa,"KAROL G",3551500,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Falling,"Trevor Daniel",3372118,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Si Veo a Tu Mamá","Bad Bunny",3315653,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
12,ROXANNE,"Arizona Zervas",3222231,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Ignorantes,"Bad Bunny",3151359,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
14,Myron,"Lil Uzi Vert",3094018,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
15,"Godzilla (feat. Juice WRLD)",Eminem,2996230,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
16,Circles,"Post Malone",2796623,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2687806,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Blueberry Faygo","Lil Mosey",2664826,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Roses - Imanbek Remix","SAINt JHN",2656336,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,"Someone You Loved","Lewis Capaldi",2616059,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Sunday Best",Surfaces,2542672,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
