,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5192186,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5032913,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4516559,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4092466,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Intentions (feat. Quavo)","Justin Bieber",3423605,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"Say So","Doja Cat",3360643,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,Falling,"Trevor Daniel",3216958,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,Tusa,"KAROL G",3125321,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,ROXANNE,"Arizona Zervas",3039078,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,Safaera,"Bad Bunny",2998577,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,"La Difícil","Bad Bunny",2984925,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
12,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,2818885,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Godzilla (feat. Juice WRLD)",Eminem,2728034,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
14,"Si Veo a Tu Mamá","Bad Bunny",2643373,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
15,"Roses - Imanbek Remix","SAINt JHN",2550210,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,"Sunday Best",Surfaces,2550183,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,Circles,"Post Malone",2549091,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Blueberry Faygo","Lil Mosey",2533749,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Someone You Loved","Lewis Capaldi",2494803,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Ignorantes,"Bad Bunny",2489763,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
21,Memories,"Maroon 5",2216999,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Supalonely,BENEE,2180694,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
23,"Adore You","Harry Styles",2149102,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Yummy,"Justin Bieber",2100643,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,"Life Is Good (feat. Drake)",Future,2071600,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
26,"everything i wanted","Billie Eilish",1999094,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
27,"bad guy","Billie Eilish",1955290,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,Rojo,"J Balvin",1892579,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
29,Physical,"Dua Lipa",1859768,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
30,"Before You Go","Lewis Capaldi",1855983,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Vete,"Bad Bunny",1833533,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
32,"La Santa","Bad Bunny",1804690,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
33,Señorita,"Shawn Mendes",1777708,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
34,P2,"Lil Uzi Vert",1768537,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
35,"That Way - Bonus Track","Lil Uzi Vert",1755583,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
36,Myron,"Lil Uzi Vert",1715833,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
37,"Stupid Love","Lady Gaga",1688434,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
38,"No Time To Die","Billie Eilish",1687453,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
39,"WHATS POPPIN","Jack Harlow",1632890,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
40,"Sigues Con El","Dimelo Flow",1607503,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
41,"You should be sad",Halsey,1600947,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
42,"My Oh My (feat. DaBaby)","Camila Cabello",1591038,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
43,"Yo Perreo Sola","Bad Bunny",1585969,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
44,"After Hours","The Weeknd",1573382,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
45,"High Fashion (feat. Mustard)","Roddy Ricch",1532585,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
46,"Moral of the Story",Ashe,1507699,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
47,"RITMO (Bad Boys For Life)","Black Eyed Peas",1505520,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
48,Morado,"J Balvin",1475050,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
49,Diosa,"Myke Towers",1377732,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1363669,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,Tattoo,"Rauw Alejandro",1358808,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
52,"CITY OF ANGELS",24kGoldn,1328371,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
53,"Baby Pluto","Lil Uzi Vert",1323490,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
54,"lovely (with Khalid)","Billie Eilish",1322533,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,"Ride It",Regard,1306663,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
56,"hot girl bummer",blackbear,1282379,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"Hola - Remix",Dalex,1274911,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
58,"I Don't Care (with Justin Bieber)","Ed Sheeran",1248434,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
59,"Lose Control",MEDUZA,1246846,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
60,"Pero Ya No","Bad Bunny",1205612,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
61,"To Die For","Sam Smith",1204692,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
62,"10,000 Hours (with Justin Bieber)","Dan + Shay",1189116,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
63,"Boss Bitch","Doja Cat",1186992,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
64,"Lucid Dreams","Juice WRLD",1185959,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
65,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1166792,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
66,"What If I Told You That I Love You","Ali Gatie",1146658,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
67,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1140961,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
68,"What A Man Gotta Do","Jonas Brothers",1137375,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
69,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",1136706,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
70,"Forever (feat. Post Malone & Clever)","Justin Bieber",1135677,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
71,"Ballin' (with Roddy Ricch)",Mustard,1099688,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
72,"when the party's over","Billie Eilish",1099230,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
73,"I Love Me","Demi Lovato",1090059,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
74,Keii,"Anuel AA",1089768,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
75,"Beautiful People (feat. Khalid)","Ed Sheeran",1086742,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
76,"HIGHEST IN THE ROOM","Travis Scott",1084704,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
77,"No Idea","Don Toliver",1072219,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
78,"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert",1063595,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
79,"Know Your Worth",Khalid,1052449,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
80,Suicidal,"YNW Melly",1033186,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
81,"Lo Mein","Lil Uzi Vert",1023998,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
82,Yessirskiii,"Lil Uzi Vert",1021192,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
83,BOP,DaBaby,1003971,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
84,"Never Seen the Rain","Tones And I",1001612,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
85,Bichiyal,"Bad Bunny",994473,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
86,"Me Gusta",Shakira,993799,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
87,"rockstar (feat. 21 Savage)","Post Malone",992832,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
88,Muévelo,"Nicky Jam",990002,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
89,"A Tu Merced","Bad Bunny",989041,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
90,Shallow,"Lady Gaga",988413,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,"Lose You To Love Me","Selena Gomez",988097,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
92,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",987525,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
93,"It's You","Ali Gatie",972980,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
94,Lalala,Y2K,971735,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
95,WANNABE,ITZY,969735,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
96,"Watermelon Sugar","Harry Styles",965330,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
97,China,"Anuel AA",961854,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
98,Falling,"Harry Styles",957888,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
99,"7 rings","Ariana Grande",950168,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
100,"Goodbyes (Feat. Young Thug)","Post Malone",942122,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
101,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",931431,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
102,SUGAR,BROCKHAMPTON,918073,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
103,Believer,"Imagine Dragons",916154,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
104,Happier,Marshmello,892220,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
105,"LA CANCIÓN","J Balvin",882916,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
106,"In Your Eyes (feat. Alida)","Robin Schulz",874172,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
107,25/8,"Bad Bunny",873873,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
108,"No Judgement","Niall Horan",873729,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G
109,"Go Stupid","Polo G",870934,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
110,Woah,"Lil Baby",865057,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
111,Callaita,"Bad Bunny",861004,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
112,"Silly Watch","Lil Uzi Vert",858914,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
113,Cardigan,"Don Toliver",857595,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
114,Soliá,"Bad Bunny",855165,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
115,Ransom,"Lil Tecca",850870,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
116,Fantasias,"Rauw Alejandro",848948,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
117,"Feel Me","Selena Gomez",841953,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
118,ON,BTS,839570,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
119,"Like That (feat. Gucci Mane)","Doja Cat",839177,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
120,"Old Town Road - Remix","Lil Nas X",837096,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
121,"Get You The Moon (feat. Snøw)",Kina,832412,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
122,Wow.,"Post Malone",832267,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
123,"Está Cabrón Ser Yo","Bad Bunny",830705,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
124,SAD!,XXXTENTACION,829536,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
125,Bruises,"Lewis Capaldi",826210,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
126,Medusa,"Jhay Cortez",825956,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
127,"SICKO MODE","Travis Scott",824480,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
128,"Hablamos Mañana","Bad Bunny",823767,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
129,"OUT WEST (feat. Young Thug)",JACKBOYS,822802,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
130,"Without Me",Halsey,816874,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
131,"Jocelyn Flores",XXXTENTACION,808529,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
132,Robbery,"Juice WRLD",801080,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
133,Sucker,"Jonas Brothers",800474,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
134,"No Me Conoce - Remix","Jhay Cortez",796300,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
135,July,"Noah Cyrus",795178,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
136,"How Do You Sleep?","Sam Smith",794662,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
137,"Say You Won't Let Go","James Arthur",793673,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
138,"Fantasias - Remix","Rauw Alejandro",778019,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
139,"Se Me Olvidó","Christian Nodal",776227,https://open.spotify.com/track/5Xitt5a5uLQ1QtYdFxmi9e
140,Skechers,DripReport,776208,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
141,"Bohemian Rhapsody - 2011 Mix",Queen,774416,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
142,"Lettre à une femme",Ninho,771458,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
143,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,763815,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
144,"Shape of You","Ed Sheeran",754916,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
145,"The Less I Know The Better","Tame Impala",753759,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
146,"ocean eyes","Billie Eilish",752480,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
147,"XO Tour Llif3","Lil Uzi Vert",749694,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
148,"Que Malo","Bad Bunny",746021,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
149,"Alone, Pt. II","Alan Walker",745447,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
150,"B.S. (feat. H.E.R.)","Jhené Aiko",744394,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
151,goosebumps,"Travis Scott",736732,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
152,Dior,"Pop Smoke",735817,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
153,Blanco,"J Balvin",733575,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
154,"La Zona","Bad Bunny",729162,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
155,"Can We Kiss Forever?",Kina,728412,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
156,"Make You Mine",PUBLIC,725952,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
157,Moonlight,XXXTENTACION,724190,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
158,"Una Vez","Bad Bunny",722608,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
159,Maniac,"Conan Gray",721811,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
160,Heartless,"The Weeknd",718060,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
161,"Lights Up","Harry Styles",709560,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
162,"Better Now","Post Malone",708072,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
163,"The Other Side (from Trolls World Tour)",SZA,707330,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
164,"Good as Hell (feat. Ariana Grande)",Lizzo,702067,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
165,"Eastside (with Halsey & Khalid)","benny blanco",701377,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
166,"Dancing With A Stranger (with Normani)","Sam Smith",698546,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
167,"Money In The Grave (Drake ft. Rick Ross)",Drake,696424,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
168,Perfect,"Ed Sheeran",696103,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
169,"I Like Me Better",Lauv,695741,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
170,"Sweet but Psycho","Ava Max",689118,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
171,"Ayy Macarena",Tyga,686392,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
172,"Hate Me (with Juice WRLD)","Ellie Goulding",686003,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
173,"Black And White","Niall Horan",682184,https://open.spotify.com/track/7rpNuuoMbid56XkDsx2FjE
174,Prices,"Lil Uzi Vert",677328,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
175,"Piece Of Your Heart",MEDUZA,676679,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
176,"Whine Up","Nicky Jam",676194,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
177,"All of Me","John Legend",675127,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
178,"Black Swan",BTS,675123,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
179,"thank u, next","Ariana Grande",672221,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
180,Jangueo,"Alex Rose",671102,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
181,Homecoming,"Lil Uzi Vert",669479,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj
182,"Leaders (feat. NAV)","Lil Uzi Vert",669002,https://open.spotify.com/track/4D7NrSeqkTarBrJ80b2sBc
183,I.F.L.Y.,Bazzi,668984,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
184,VIBEZ,DaBaby,668273,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
185,"Who (feat. BTS)",Lauv,667115,https://open.spotify.com/track/2qG81jL9UIP54uS8gYyP4k
186,"Modern Loneliness",Lauv,664523,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb
187,"The Take (feat. Chris Brown)","Tory Lanez",663767,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
188,"Be Alright","Dean Lewis",663715,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
