,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",7107921,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",6100930,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"The Box","Roddy Ricch",4769057,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Dance Monkey","Tones And I",4519799,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Roses - Imanbek Remix","SAINt JHN",4480497,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Break My Heart","Dua Lipa",4276985,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
7,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3822804,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,Physical,"Dua Lipa",3799456,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
9,"Say So","Doja Cat",3665206,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3513294,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"In Your Eyes","The Weeknd",3429407,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
12,Safaera,"Bad Bunny",3321477,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,Falling,"Trevor Daniel",3158414,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,"Blueberry Faygo","Lil Mosey",3035805,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,"Sunday Best",Surfaces,2925191,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,"BELIEVE IT",PARTYNEXTDOOR,2873556,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
17,"Turks (feat. Travis Scott)",NAV,2855163,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
18,ROXANNE,"Arizona Zervas",2812940,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,Tusa,"KAROL G",2764652,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
20,Supalonely,BENEE,2724892,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
21,Rojo,"J Balvin",2573597,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
22,"Someone You Loved","Lewis Capaldi",2459971,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Circles,"Post Malone",2453159,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"La Difícil","Bad Bunny",2402617,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
25,"After Hours","The Weeknd",2307840,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
26,"Adore You","Harry Styles",2205512,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"Godzilla (feat. Juice WRLD)",Eminem,2171322,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,Memories,"Maroon 5",2133567,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"Si Veo a Tu Mamá","Bad Bunny",2123514,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
30,Ignorantes,"Bad Bunny",2000962,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
31,"Future Nostalgia","Dua Lipa",1977494,https://open.spotify.com/track/6zrJLhslleCHby0wbUnvVy
32,Hallucinate,"Dua Lipa",1963556,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg
33,Savage,"Megan Thee Stallion",1957790,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
34,"bad guy","Billie Eilish",1948303,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,Levitating,"Dua Lipa",1945105,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
36,Amarillo,"J Balvin",1931063,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
37,Cool,"Dua Lipa",1910796,https://open.spotify.com/track/2nMOodYNHBAQ3Kc1QNimZU
38,"Life Is Good (feat. Drake)",Future,1910723,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
39,"everything i wanted","Billie Eilish",1858897,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
40,Morado,"J Balvin",1836795,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
41,Yummy,"Justin Bieber",1804506,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
42,"Before You Go","Lewis Capaldi",1787598,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,"Pretty Please","Dua Lipa",1743206,https://open.spotify.com/track/6DXZiYUbrYgrVIhfX3U9Z2
44,Señorita,"Shawn Mendes",1740838,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,"Like It Is",Kygo,1720649,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
46,"WHATS POPPIN","Jack Harlow",1716219,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
47,"Boss Bitch","Doja Cat",1671685,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
48,Heartless,"The Weeknd",1663163,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
49,"Love Again","Dua Lipa",1653143,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
50,"Sigues Con El","Dimelo Flow",1552615,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
51,Tattoo,"Rauw Alejandro",1509149,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
52,"Yo Perreo Sola","Bad Bunny",1493180,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
53,"La Santa","Bad Bunny",1485465,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
