,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6498150,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,6252134,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",5026746,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4760344,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4356695,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4196452,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4135680,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3642888,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3431392,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3106510,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"Break My Heart","Dua Lipa",2991785,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
12,Falling,"Trevor Daniel",2963555,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2799717,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2743477,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2678495,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Physical,"Dua Lipa",2538568,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
17,"Yo Perreo Sola","Bad Bunny",2518249,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
18,"In Your Eyes","The Weeknd",2492236,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,ROXANNE,"Arizona Zervas",2485085,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,Savage,"Megan Thee Stallion",2441314,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
21,"Someone You Loved","Lewis Capaldi",2382859,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Tusa,"KAROL G",2356028,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
23,Circles,"Post Malone",2275769,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Boss Bitch","Doja Cat",2161890,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,Rojo,"J Balvin",2076509,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
26,"Adore You","Harry Styles",2049751,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,Memories,"Maroon 5",1965526,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,"Life Is Good (feat. Drake)",Future,1927161,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
29,"WHATS POPPIN","Jack Harlow",1925323,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
30,"BELIEVE IT",PARTYNEXTDOOR,1855686,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
31,"bad guy","Billie Eilish",1820364,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,"Godzilla (feat. Juice WRLD)",Eminem,1803169,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,"Before You Go","Lewis Capaldi",1727214,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"everything i wanted","Billie Eilish",1715906,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,"La Difícil","Bad Bunny",1703662,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
36,Señorita,"Shawn Mendes",1647849,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,Skechers,DripReport,1603180,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
38,Ignorantes,"Bad Bunny",1584779,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
39,"Si Veo a Tu Mamá","Bad Bunny",1557396,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
40,"FIND MY WAY",DaBaby,1551961,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
41,"After Hours","The Weeknd",1544837,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
42,Amarillo,"J Balvin",1522259,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
43,Yummy,"Justin Bieber",1507259,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
44,Tattoo,"Rauw Alejandro",1485536,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
45,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1481277,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
46,"Turks (feat. Travis Scott)",NAV,1455628,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
47,"Ride It",Regard,1433228,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
48,"Like It Is",Kygo,1419965,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
49,"Sigues Con El","Dimelo Flow",1378003,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
50,"High Fashion (feat. Mustard)","Roddy Ricch",1353521,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
51,"Lose Control",MEDUZA,1351799,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
52,"lovely (with Khalid)","Billie Eilish",1317517,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1303185,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
54,Morado,"J Balvin",1295495,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
55,"You should be sad",Halsey,1265054,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
56,"RITMO (Bad Boys For Life)","Black Eyed Peas",1239636,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
57,"hot girl bummer",blackbear,1214910,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
58,"Breaking Me",Topic,1197531,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
59,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1187943,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
60,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1177708,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
61,Diosa,"Myke Towers",1168397,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
62,"My Oh My (feat. DaBaby)","Camila Cabello",1167728,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
63,"CITY OF ANGELS",24kGoldn,1164464,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
64,"I Don't Care (with Justin Bieber)","Ed Sheeran",1164134,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
65,Vete,"Bad Bunny",1157536,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
66,"La Santa","Bad Bunny",1124473,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
67,"10,000 Hours (with Justin Bieber)","Dan + Shay",1122707,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
