,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6590354,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,5779143,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Don't Start Now","Dua Lipa",5062135,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
4,"Roses - Imanbek Remix","SAINt JHN",4931973,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",4407197,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Dance Monkey","Tones And I",4350749,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3986155,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Blueberry Faygo","Lil Mosey",3437342,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3395635,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3096290,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"Break My Heart","Dua Lipa",3044428,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
12,Falling,"Trevor Daniel",2986204,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,Safaera,"Bad Bunny",2935537,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,"Sunday Best",Surfaces,2736748,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,Physical,"Dua Lipa",2731603,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
16,"Yo Perreo Sola","Bad Bunny",2655102,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
17,Supalonely,BENEE,2636796,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,"In Your Eyes","The Weeknd",2601633,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,Tusa,"KAROL G",2561162,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
20,ROXANNE,"Arizona Zervas",2489101,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,"Someone You Loved","Lewis Capaldi",2370272,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Savage,"Megan Thee Stallion",2272457,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
23,Circles,"Post Malone",2227834,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Rojo,"J Balvin",2132184,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
25,"Adore You","Harry Styles",2029720,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,"Boss Bitch","Doja Cat",2000455,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
27,"FIND MY WAY",DaBaby,1994709,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
28,Memories,"Maroon 5",1984312,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"BELIEVE IT",PARTYNEXTDOOR,1984275,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
