,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6480759,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,6296263,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",5234607,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4760792,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4209668,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4208446,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4153458,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3591415,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3457132,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",3065857,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",2977157,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2852536,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2729513,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2725318,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2551330,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Savage,"Megan Thee Stallion",2458894,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
17,"In Your Eyes","The Weeknd",2441502,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
18,Physical,"Dua Lipa",2438174,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
19,"Yo Perreo Sola","Bad Bunny",2431189,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
20,ROXANNE,"Arizona Zervas",2400371,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,Tusa,"KAROL G",2328053,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,"Someone You Loved","Lewis Capaldi",2278266,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Circles,"Post Malone",2202939,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Boss Bitch","Doja Cat",2126526,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,"Adore You","Harry Styles",2001072,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,Rojo,"J Balvin",1965324,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
27,"Life Is Good (feat. Drake)",Future,1895473,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,Memories,"Maroon 5",1891785,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"WHATS POPPIN","Jack Harlow",1878086,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
30,"Level of Concern","Twenty One Pilots",1851909,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
31,"bad guy","Billie Eilish",1809876,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,"Before You Go","Lewis Capaldi",1744608,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"BELIEVE IT",PARTYNEXTDOOR,1738500,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
34,Señorita,"Shawn Mendes",1690637,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
35,"Godzilla (feat. Juice WRLD)",Eminem,1686475,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
36,Boyfriend,"Selena Gomez",1661691,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
37,Skechers,DripReport,1655827,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
38,"everything i wanted","Billie Eilish",1613585,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
39,"La Difícil","Bad Bunny",1560061,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
40,"Ride It",Regard,1544872,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
41,Amarillo,"J Balvin",1466908,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
42,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1450398,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
43,Tattoo,"Rauw Alejandro",1446782,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
44,Ignorantes,"Bad Bunny",1442286,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
45,"Lose Control",MEDUZA,1440951,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
46,"Si Veo a Tu Mamá","Bad Bunny",1440229,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
47,Yummy,"Justin Bieber",1425078,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
48,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1419420,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
49,"After Hours","The Weeknd",1414953,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
50,"Like It Is",Kygo,1352464,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
