,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,6107395,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",6022439,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",4819930,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4468957,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4208568,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"The Box","Roddy Ricch",4032443,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"Dance Monkey","Tones And I",3780827,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3619594,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3335178,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",2926294,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",2876434,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2825565,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2716093,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2665458,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Savage,"Megan Thee Stallion",2435963,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
16,Safaera,"Bad Bunny",2430551,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
17,ROXANNE,"Arizona Zervas",2349454,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,"Yo Perreo Sola","Bad Bunny",2299240,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,"Someone You Loved","Lewis Capaldi",2297798,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"In Your Eyes","The Weeknd",2290160,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
21,Physical,"Dua Lipa",2221378,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
22,Circles,"Post Malone",2179414,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"Boss Bitch","Doja Cat",2157198,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
24,Tusa,"KAROL G",2112339,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,"WHATS POPPIN","Jack Harlow",1978393,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
26,"Adore You","Harry Styles",1962020,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"Life Is Good (feat. Drake)",Future,1914755,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,Rojo,"J Balvin",1914681,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
29,Memories,"Maroon 5",1849383,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,"bad guy","Billie Eilish",1730073,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Godzilla (feat. Juice WRLD)",Eminem,1690324,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
32,"Before You Go","Lewis Capaldi",1684922,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,Skechers,DripReport,1678437,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
34,Favorito,Camilo,1671803,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5
35,"everything i wanted","Billie Eilish",1631429,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
