,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6502411,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,6173288,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",4962927,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4742362,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4377907,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4165282,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4097567,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3619234,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3431864,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Intentions (feat. Quavo)","Justin Bieber",3102875,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,"Break My Heart","Dua Lipa",2979112,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
12,Falling,"Trevor Daniel",2958881,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2797297,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2731540,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2693926,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Physical,"Dua Lipa",2532614,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
17,"Yo Perreo Sola","Bad Bunny",2531039,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
18,"In Your Eyes","The Weeknd",2492289,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
19,ROXANNE,"Arizona Zervas",2482456,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
