,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5409829,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5026883,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4623236,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4232634,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Say So","Doja Cat",3501018,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,"Intentions (feat. Quavo)","Justin Bieber",3469304,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Falling,"Trevor Daniel",3252946,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,Tusa,"KAROL G",3115207,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,ROXANNE,"Arizona Zervas",3074733,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3062913,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
11,Safaera,"Bad Bunny",3041005,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,"La Difícil","Bad Bunny",2912696,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
13,"Roses - Imanbek Remix","SAINt JHN",2791419,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,"Sunday Best",Surfaces,2680917,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"Blueberry Faygo","Lil Mosey",2640644,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,Circles,"Post Malone",2629343,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Godzilla (feat. Juice WRLD)",Eminem,2617755,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
18,"Si Veo a Tu Mamá","Bad Bunny",2572616,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
19,"Someone You Loved","Lewis Capaldi",2562750,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Ignorantes,"Bad Bunny",2452386,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
21,Supalonely,BENEE,2354692,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
22,Memories,"Maroon 5",2302615,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,"Adore You","Harry Styles",2228574,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,Yummy,"Justin Bieber",2131956,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,"Life Is Good (feat. Drake)",Future,2062775,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
26,"Physical (feat. Hwa Sa)","Dua Lipa",2049962,https://open.spotify.com/track/23jEeXRyrjFbfs2Q8tBwdI
27,"everything i wanted","Billie Eilish",2029381,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
28,"bad guy","Billie Eilish",2021147,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,Rojo,"J Balvin",1966338,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
30,"Before You Go","Lewis Capaldi",1880899,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Señorita,"Shawn Mendes",1845405,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
32,"La Santa","Bad Bunny",1779751,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
33,Vete,"Bad Bunny",1742596,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
34,"Stupid Love","Lady Gaga",1648935,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
35,"Sigues Con El","Dimelo Flow",1646429,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
36,"No Time To Die","Billie Eilish",1644872,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
37,"That Way - Bonus Track","Lil Uzi Vert",1642445,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
