,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5734600,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,5605711,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Roses - Imanbek Remix","SAINt JHN",4558164,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4318149,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4041256,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"The Box","Roddy Ricch",3843264,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"Dance Monkey","Tones And I",3649295,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3400351,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3171516,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",2798607,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",2743933,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2743523,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,"Sunday Best",Surfaces,2597916,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,Supalonely,BENEE,2531627,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Safaera,"Bad Bunny",2382720,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Savage,"Megan Thee Stallion",2272396,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
17,ROXANNE,"Arizona Zervas",2264079,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,"Yo Perreo Sola","Bad Bunny",2248335,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,"Someone You Loved","Lewis Capaldi",2219802,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"In Your Eyes","The Weeknd",2195118,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
21,Physical,"Dua Lipa",2104978,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
22,Circles,"Post Malone",2086331,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,Tusa,"KAROL G",2056858,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
24,"Boss Bitch","Doja Cat",2015207,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
25,Rojo,"J Balvin",1874256,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
26,"Adore You","Harry Styles",1865281,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"WHATS POPPIN","Jack Harlow",1800723,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
28,Memories,"Maroon 5",1794160,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"Life Is Good (feat. Drake)",Future,1778466,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
30,"bad guy","Billie Eilish",1667291,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Before You Go","Lewis Capaldi",1615564,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,"Godzilla (feat. Juice WRLD)",Eminem,1599524,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,Skechers,DripReport,1581385,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
34,"everything i wanted","Billie Eilish",1560831,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,Favorito,Camilo,1554201,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5
36,Señorita,"Shawn Mendes",1526000,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,"Level of Concern","Twenty One Pilots",1497328,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
38,"La Difícil","Bad Bunny",1478469,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
39,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1463638,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
40,"BELIEVE IT",PARTYNEXTDOOR,1432940,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
41,Tattoo,"Rauw Alejandro",1416186,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
42,Boyfriend,"Selena Gomez",1413958,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
43,Ignorantes,"Bad Bunny",1404177,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
44,"Si Veo a Tu Mamá","Bad Bunny",1380095,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
45,Amarillo,"J Balvin",1375183,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
