,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",7053086,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",4657846,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4314373,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4006964,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Roses - Imanbek Remix","SAINt JHN",3593941,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"In Your Eyes","The Weeknd",3521143,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
7,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3419304,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Say So","Doja Cat",3401772,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,"Intentions (feat. Quavo)","Justin Bieber",3293321,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,Falling,"Trevor Daniel",3038202,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"After Hours","The Weeknd",2983094,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
12,Safaera,"Bad Bunny",2923833,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
13,Tusa,"KAROL G",2836812,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,ROXANNE,"Arizona Zervas",2766673,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,"Sunday Best",Surfaces,2722603,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,Rojo,"J Balvin",2679089,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
17,"Blueberry Faygo","Lil Mosey",2581922,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,"Someone You Loved","Lewis Capaldi",2440865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,Supalonely,BENEE,2417583,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
