,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5499912,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5027202,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",4660313,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4257312,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Say So","Doja Cat",3559297,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,"Intentions (feat. Quavo)","Justin Bieber",3429995,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Falling,"Trevor Daniel",3253719,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3230620,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,Tusa,"KAROL G",3126374,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Safaera,"Bad Bunny",3076551,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,ROXANNE,"Arizona Zervas",3067047,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Roses - Imanbek Remix","SAINt JHN",2964691,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"La Difícil","Bad Bunny",2830768,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
14,"Sunday Best",Surfaces,2752441,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"Blueberry Faygo","Lil Mosey",2670764,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,Circles,"Post Malone",2620153,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Godzilla (feat. Juice WRLD)",Eminem,2590508,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
18,"Someone You Loved","Lewis Capaldi",2568803,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"Si Veo a Tu Mamá","Bad Bunny",2514842,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
20,Supalonely,BENEE,2428411,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
21,Ignorantes,"Bad Bunny",2405441,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
22,"Adore You","Harry Styles",2297053,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Memories,"Maroon 5",2285739,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,Yummy,"Justin Bieber",2126155,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,Rojo,"J Balvin",2106774,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
26,"Life Is Good (feat. Drake)",Future,2038005,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
27,"everything i wanted","Billie Eilish",2024768,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
28,"bad guy","Billie Eilish",2019950,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
