,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,6419643,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",6356173,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",5102923,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",4616064,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"The Box","Roddy Ricch",4198396,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,4153054,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Dance Monkey","Tones And I",4024417,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Blueberry Faygo","Lil Mosey",3578310,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Say So","Doja Cat",3397329,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Break My Heart","Dua Lipa",3000451,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
11,"Intentions (feat. Quavo)","Justin Bieber",2951010,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Falling,"Trevor Daniel",2836061,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,Supalonely,BENEE,2682763,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
14,"Sunday Best",Surfaces,2673392,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"In Your Eyes","The Weeknd",2502244,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
16,Safaera,"Bad Bunny",2484637,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
17,Savage,"Megan Thee Stallion",2429728,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
18,Physical,"Dua Lipa",2409384,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
19,ROXANNE,"Arizona Zervas",2378446,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,"Yo Perreo Sola","Bad Bunny",2348569,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
21,"Someone You Loved","Lewis Capaldi",2267119,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Tusa,"KAROL G",2233829,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
23,Circles,"Post Malone",2189236,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Level of Concern","Twenty One Pilots",2175414,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
25,"Boss Bitch","Doja Cat",2113649,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
26,"Adore You","Harry Styles",1972725,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,Rojo,"J Balvin",1903815,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
28,"WHATS POPPIN","Jack Harlow",1883641,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
29,"Life Is Good (feat. Drake)",Future,1882863,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
30,Memories,"Maroon 5",1867922,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
31,"BELIEVE IT",PARTYNEXTDOOR,1788291,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
32,"bad guy","Billie Eilish",1785229,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
33,"Godzilla (feat. Juice WRLD)",Eminem,1719178,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
34,Boyfriend,"Selena Gomez",1717516,https://open.spotify.com/track/5EBtY2shIV1vmY4bnvvV6T
35,"Before You Go","Lewis Capaldi",1712285,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,Skechers,DripReport,1668278,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
37,Señorita,"Shawn Mendes",1634087,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
38,"everything i wanted","Billie Eilish",1629150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
39,"La Difícil","Bad Bunny",1539584,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
40,"Ride It",Regard,1465603,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
41,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1455994,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
42,"After Hours","The Weeknd",1444554,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
43,Ignorantes,"Bad Bunny",1425047,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
44,"Si Veo a Tu Mamá","Bad Bunny",1423749,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
45,Amarillo,"J Balvin",1417105,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
